±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[389.2061462402344, 394.97137451171875]","[400.92041015625, 389.1142578125]","[377.4918518066406, 383.2571105957031]","[424.3489990234375, 412.5428161621094]","[354.06329345703125, 406.6856689453125]","[453.6346740722656, 506.2570495605469]","[307.2061767578125, 494.54278564453125]","[488.7774963378906, 599.9712524414062]","[248.63478088378906, 588.2570190429688]","[570.7774658203125, 623.3998413085938]","[160.7776641845703, 617.5426635742188]","[418.4918212890625, 693.6854858398438]","[324.777587890625, 693.6854858398438]","[395.0632629394531, 845.9710693359375]","[330.6347351074219, 845.9710693359375]","[389.2061462402344, 1004.1138305664062]","[342.3489990234375, 992.3995971679688]"
"[383.8038635253906, 396.41729736328125]","[401.1942443847656, 390.62054443359375]","[372.2103271484375, 390.62054443359375]","[418.5845642089844, 413.80767822265625]","[349.023193359375, 408.0108642578125]","[453.365234375, 512.3529663085938]","[302.6489562988281, 494.96258544921875]","[488.14593505859375, 599.3046264648438]","[250.47792053222656, 587.7111206054688]","[569.3009033203125, 622.4917602539062]","[163.5261993408203, 610.898193359375]","[418.5845642089844, 697.8499145507812]","[325.8360900878906, 697.8499145507812]","[395.3974304199219, 848.5662231445312]","[331.6328430175781, 848.5662231445312]","[389.60064697265625, 1016.6727905273438]","[343.2264099121094, 1005.0792846679688]"
"[387.6053466796875, 410.745361328125]","[399.0404968261719, 399.3101806640625]","[370.4526062011719, 399.3101806640625]","[421.9108581542969, 422.18048095703125]","[353.2998962402344, 416.4629211425781]","[450.4987487792969, 513.6617431640625]","[301.8416748046875, 502.22662353515625]","[490.52178955078125, 610.860595703125]","[250.3834686279297, 593.7078247070312]","[570.5679321289062, 622.2957153320312]","[158.90220642089844, 616.5781860351562]","[416.1932678222656, 702.3418579101562]","[318.9944152832031, 702.3418579101562]","[393.32293701171875, 856.7164916992188]","[330.4295654296875, 856.7164916992188]","[393.32293701171875, 1022.5261840820312]","[341.8647155761719, 1016.8086547851562]"
"[386.7242431640625, 425.83538818359375]","[397.9586181640625, 414.60101318359375]","[369.8726806640625, 414.60101318359375]","[420.4273681640625, 437.06976318359375]","[353.0211181640625, 431.45257568359375]","[448.5133056640625, 526.9447631835938]","[302.4664306640625, 521.3275756835938]","[487.8336181640625, 622.4369506835938]","[251.91171264648438, 611.2025756835938]","[566.4742431640625, 633.6713256835938]","[156.41952514648438, 622.4369506835938]","[414.8101806640625, 712.3119506835938]","[319.3179931640625, 706.6947631835938]","[392.3414306640625, 869.5932006835938]","[330.5523681640625, 863.9760131835938]","[386.7242431640625, 1032.4915771484375]","[341.7867431640625, 1032.4915771484375]"
"[383.5201721191406, 440.37554931640625]","[400.612060546875, 428.98095703125]","[372.1255798339844, 428.98095703125]","[417.7039794921875, 451.7701416015625]","[349.33636474609375, 446.0728454589844]","[451.8877868652344, 548.6242065429688]","[303.7579650878906, 537.2296752929688]","[486.0715637207031, 634.083740234375]","[252.48226928710938, 628.3864135742188]","[565.8338012695312, 651.1755981445312]","[161.32545471191406, 634.083740234375]","[412.0066833496094, 730.9378051757812]","[320.849853515625, 725.2405395507812]","[389.21746826171875, 884.764892578125]","[332.2444763183594, 884.764892578125]","[389.21746826171875, 1055.683837890625]","[343.6390686035156, 1049.986572265625]"
"[381.2712097167969, 459.74627685546875]","[397.91009521484375, 454.20001220703125]","[370.17864990234375, 448.6537170410156]","[420.09521484375, 470.8388671875]","[347.99346923828125, 470.8388671875]","[453.3729553222656, 570.6720581054688]","[303.6231689453125, 559.5794677734375]","[486.65069580078125, 659.4126586914062]","[253.70655822753906, 648.3201293945312]","[558.75244140625, 670.5052490234375]","[164.9659423828125, 648.3201293945312]","[414.5489196777344, 759.245849609375]","[320.26202392578125, 753.6995849609375]","[392.3638000488281, 908.9956665039062]","[331.3546142578125, 908.9956665039062]","[392.3638000488281, 1064.2916259765625]","[336.9009094238281, 1064.2916259765625]"
"[377.2310485839844, 481.95770263671875]","[393.66864013671875, 470.9992980957031]","[366.27264404296875, 470.9992980957031]","[415.58544921875, 487.4368896484375]","[344.35589599609375, 487.4368896484375]","[448.4606018066406, 586.0624389648438]","[300.5223083496094, 580.583251953125]","[481.3357849121094, 679.2088012695312]","[256.6887512207031, 668.2504272460938]","[552.5653076171875, 684.68798828125]","[169.0215606689453, 657.2919921875]","[410.1062316894531, 761.3967895507812]","[322.4390869140625, 761.3967895507812]","[388.189453125, 920.2935180664062]","[327.91827392578125, 920.2935180664062]","[388.189453125, 1062.75244140625]","[338.8766784667969, 1068.231689453125]"
"[377.23211669921875, 485.9892578125]","[393.2141418457031, 480.6618957519531]","[366.5774230957031, 480.6618957519531]","[414.5235290527344, 496.6439514160156]","[345.2680358886719, 496.6439514160156]","[446.4876403808594, 597.8635864257812]","[297.3218994140625, 592.5361938476562]","[478.4516906738281, 688.428466796875]","[254.70309448242188, 677.7737426757812]","[547.7072143554688, 693.7557983398438]","[169.4655303955078, 667.1190795898438]","[409.1961975097656, 800.3027954101562]","[323.9586181640625, 800.3027954101562]","[382.5594482421875, 933.4864501953125]","[329.2859802246094, 933.4864501953125]","[382.5594482421875, 1066.6700439453125]","[339.940673828125, 1061.3427734375]"
"[378.8843688964844, 479.22021484375]","[395.56927490234375, 473.6585693359375]","[367.7611083984375, 468.096923828125]","[412.254150390625, 490.34344482421875]","[345.5146179199219, 490.34344482421875]","[445.62396240234375, 584.8911743164062]","[301.0215759277344, 584.8911743164062]","[473.4320983886719, 679.4389038085938]","[256.52850341796875, 668.3156127929688]","[540.1716918945312, 690.5621948242188]","[173.10403442382812, 668.3156127929688]","[412.254150390625, 785.10986328125]","[317.7064514160156, 779.5482788085938]","[384.4460144042969, 918.5890502929688]","[323.26806640625, 918.5890502929688]","[384.4460144042969, 1063.1912841796875]","[339.9529724121094, 1063.1912841796875]"
"[378.56988525390625, 460.89422607421875]","[395.06640625, 449.89654541015625]","[367.57220458984375, 449.89654541015625]","[417.0617370605469, 471.89190673828125]","[345.5768737792969, 466.39306640625]","[444.555908203125, 570.8709716796875]","[301.586181640625, 559.873291015625]","[472.05010986328125, 664.3511962890625]","[257.595458984375, 653.353515625]","[538.0361328125, 680.8477172851562]","[169.6140594482422, 658.8523559570312]","[411.5628967285156, 763.3302612304688]","[318.0826721191406, 757.8314819335938]","[389.56756591796875, 906.2999877929688]","[323.5815124511719, 906.2999877929688]","[384.0687255859375, 1060.267333984375]","[334.5791931152344, 1060.267333984375]"
