鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[840.4727783203125, 349.7006530761719]","[853.9602661132812, 336.213134765625]","[880.9352416992188, 309.2381591796875]","[880.9352416992188, 363.1881408691406]","[907.9102783203125, 356.44439697265625]","[833.7290649414062, 437.369384765625]","[901.1665649414062, 450.8569030761719]","[725.8290405273438, 322.72564697265625]","[880.9352416992188, 329.4693908691406]","[732.5728149414062, 147.38812255859375]","[894.4227905273438, 214.8256072998047]","[759.5477905273438, 720.6068725585938]","[800.0103149414062, 713.8631591796875]","[759.5477905273438, 916.1755981445312]","[779.7789916992188, 922.9193725585938]","[773.0352783203125, 1057.7943115234375]","[803.3821411132812, 1067.909912109375]"
"[845.1965942382812, 329.4693908691406]","[858.6841430664062, 315.9819030761719]","[831.7091674804688, 295.7506408691406]","[885.6591186523438, 342.9569091796875]","[919.3778686523438, 342.9569091796875]","[845.1965942382812, 423.88189697265625]","[905.890380859375, 430.6256408691406]","[723.8091430664062, 315.9819030761719]","[892.4028930664062, 322.72564697265625]","[730.5529174804688, 140.6443634033203]","[892.4028930664062, 214.8256072998047]","[757.5278930664062, 700.3756713867188]","[804.734130859375, 693.6318969726562]","[757.5278930664062, 895.9443359375]","[771.015380859375, 902.6881103515625]","[831.7091674804688, 1030.8193359375]","[831.7091674804688, 1037.56298828125]"
"[859.5455932617188, 309.2381591796875]","[879.7767944335938, 295.7506408691406]","[846.0580444335938, 289.00689697265625]","[893.2643432617188, 322.72564697265625]","[940.4705200195312, 342.9569091796875]","[852.8018188476562, 396.9068908691406]","[913.4955444335938, 417.1381530761719]","[724.6705932617188, 309.2381591796875]","[900.008056640625, 302.494384765625]","[738.1580200195312, 127.15686798095703]","[893.2643432617188, 201.33811950683594]","[751.6455688476562, 673.400634765625]","[805.5955200195312, 680.1444091796875]","[758.3893432617188, 882.4568481445312]","[785.3643188476562, 889.2006225585938]","[832.570556640625, 1024.0755615234375]","[832.570556640625, 1024.0755615234375]"
"[864.6907958984375, 295.7506408691406]","[878.1782836914062, 282.2631530761719]","[871.4345092773438, 275.5194091796875]","[891.6658325195312, 302.494384765625]","[911.8970336914062, 302.494384765625]","[857.9470825195312, 390.16314697265625]","[918.6408081054688, 396.9068908691406]","[723.0720825195312, 302.494384765625]","[891.6658325195312, 302.494384765625]","[736.5595092773438, 127.15686798095703]","[891.6658325195312, 201.33811950683594]","[750.0470581054688, 659.9131469726562]","[810.7407836914062, 659.9131469726562]","[736.5595092773438, 889.2006225585938]","[777.0220336914062, 889.2006225585938]","[830.9720458984375, 1003.8443603515625]","[837.7157592773438, 1010.5880737304688]"
"[865.6889038085938, 275.5194091796875]","[879.1763305664062, 262.0318908691406]","[879.1763305664062, 268.775634765625]","[906.1513671875, 282.2631530761719]","[912.8950805664062, 289.00689697265625]","[872.4326171875, 369.931884765625]","[926.3826293945312, 376.6756591796875]","[724.0701293945312, 295.7506408691406]","[730.8139038085938, 309.2381591796875]","[737.5576171875, 113.66937255859375]","[892.6638793945312, 194.59437561035156]","[764.5326538085938, 653.1693725585938]","[811.7388305664062, 653.1693725585938]","[744.3013305664062, 862.2257080078125]","[771.2763671875, 875.7130737304688]","[818.4826049804688, 970.1256103515625]","[838.7138671875, 976.8693237304688]"
"[873.6476440429688, 262.0318908691406]","[880.391357421875, 248.5443878173828]","[887.1350708007812, 248.5443878173828]","[914.110107421875, 268.775634765625]","[941.0850830078125, 282.2631530761719]","[873.6476440429688, 356.44439697265625]","[934.3413696289062, 363.1881408691406]","[725.2850952148438, 289.00689697265625]","[738.7726440429688, 302.494384765625]","[745.516357421875, 120.41311645507812]","[900.6226196289062, 194.59437561035156]","[765.7476196289062, 639.681884765625]","[826.4413452148438, 646.4256591796875]","[745.516357421875, 835.2506713867188]","[799.4663696289062, 828.5069580078125]","[839.9288940429688, 976.8693237304688]","[846.672607421875, 990.3568725585938]"
"[882.4691772460938, 241.80062866210938]","[895.9566040039062, 228.31312561035156]","[889.212890625, 221.5693817138672]","[922.931640625, 248.5443878173828]","[943.1629028320312, 262.0318908691406]","[889.212890625, 342.9569091796875]","[943.1629028320312, 356.44439697265625]","[734.1066284179688, 289.00689697265625]","[747.5941772460938, 302.494384765625]","[747.5941772460938, 127.15686798095703]","[902.7003784179688, 187.85061645507812]","[767.8253784179688, 599.2194213867188]","[828.5191040039062, 612.7069091796875]","[740.8504028320312, 808.275634765625]","[801.5441284179688, 801.5319213867188]","[747.5941772460938, 936.4068603515625]","[801.5441284179688, 936.4068603515625]"
"[854.3710327148438, 235.056884765625]","[861.1148071289062, 214.8256072998047]","[867.8585205078125, 221.5693817138672]","[894.8335571289062, 241.80062866210938]","[928.55224609375, 255.2881317138672]","[867.8585205078125, 329.4693908691406]","[935.2960205078125, 349.7006530761719]","[712.7522583007812, 289.00689697265625]","[726.2398071289062, 295.7506408691406]","[732.9835205078125, 113.66937255859375]","[706.0084838867188, 174.3631134033203]","[746.4710083007812, 605.963134765625]","[807.1647338867188, 612.7069091796875]","[712.7522583007812, 808.275634765625]","[753.2147827148438, 808.275634765625]","[827.3960571289062, 949.8943481445312]","[840.8834838867188, 943.1505737304688]"
"[849.0245971679688, 221.5693817138672]","[855.7683715820312, 208.0818634033203]","[862.5120849609375, 221.5693817138672]","[889.4871215820312, 228.31312561035156]","[936.693359375, 241.80062866210938]","[869.2557983398438, 315.9819030761719]","[929.9495849609375, 329.4693908691406]","[707.4058227539062, 289.00689697265625]","[720.8933715820312, 302.494384765625]","[720.8933715820312, 120.41311645507812]","[700.6620483398438, 174.3631134033203]","[761.3558349609375, 572.244384765625]","[828.7933349609375, 578.9881591796875]","[747.8683471679688, 767.8131713867188]","[795.0745849609375, 767.8131713867188]","[781.5870971679688, 929.6630859375]","[815.3058471679688, 929.6630859375]"
"[893.8760375976562, 214.8256072998047]","[900.6198120117188, 201.33811950683594]","[893.8760375976562, 214.8256072998047]","[934.3385620117188, 221.5693817138672]","[974.8010864257812, 235.056884765625]","[920.85107421875, 309.2381591796875]","[968.0573120117188, 315.9819030761719]","[752.25732421875, 295.7506408691406]","[772.4885864257812, 302.494384765625]","[765.7448120117188, 127.15686798095703]","[738.7698364257812, 174.3631134033203]","[799.4635620117188, 585.7318725585938]","[866.9010620117188, 592.4756469726562]","[765.7448120117188, 781.3006591796875]","[806.2073364257812, 794.7881469726562]","[866.9010620117188, 949.8943481445312]","[873.6448364257812, 970.1256103515625]"
