0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"121.80712546263226,205.9582706555318","140.99221522706029,229.5737092133162","121.07711192327719,184.99813450913484","153.44341613532043,246.52536295731244","112.02505225986823,194.2488748275816","154.0491259979367,231.40383174911082","101.3860335294375,243.2229260990128","53.9348442582305,294.4857304198269","52.90601488402848,298.4241485595703","238.40478592809535,268.85853481663804","240.3538528917365,270.1472271277283","117.12115514139259,382.39735406660384","162.83514641787758,372.3746719063488","143.6356395914397,493.12084806568424","119.78719071562654,491.8187063491762","132.04022466162303,569.0142798516537","132.7539272085702,567.0596586591074"
"219.4034267381008,288.99356827197835","204.23944109608692,243.63283387417923","263.4891596693937,252.3048445408446","183.2122527838681,209.35485335175628","141.34661212134455,207.09205360264164","177.1469986615014,247.15030685009194","145.21622113773333,248.16072961235787","123.54223626875228,291.3238080095224","92.29802784010599,309.1933981453862","280.23989179440514,278.9583629207388","58.59252157842138,320.60171639409043","177.7261548469039,365.33470895967594","190.03687636676005,372.23465915783834","180.7848910914321,420.8325130002508","186.09203193159885,421.7448728093841","158.92445070734283,518.8552529895352","167.7085385452449,519.8280096981775"
"208.3412305186231,269.07779678760335","211.93821018679137,265.39798543610925","263.58718023040416,249.13450901610378","200.37133949368848,268.2076762158583","141.98026712024262,209.88294994784698","229.6592531018684,245.267062057317","141.18060332420737,251.30516972523253","250.40472893028408,264.1307504260586","81.2605493449052,293.2527846399448","30.416750956138287,316.0049527535642","23.901939599894376,318.7564656892175","184.6570124644714,402.06906804778697","185.86116568123788,403.76998367012703","189.99124810482277,488.8456352026082","182.56522431726125,487.7817621490835","152.04326044817378,570.277906484641","153.54758230721444,570.0108093974192"
"161.99107188658957,318.81470142171537","157.07527890928992,301.64011944128845","120.87106002629503,317.593738541065","177.44596910291148,305.1024054738798","229.84825962526793,311.4129938504111","222.8044039358889,383.81168350635335","308.8849126615413,387.5647815748875","188.0922543418083,528.805960569864","207.15350424918682,252.34486472281964","236.3588579526671,278.1097768345695","233.74614231688503,281.5279133125038","220.5743975212602,552.7592937306207","290.4245025100411,557.4409217686041","71.07607391001187,568.1479220260442","140.21458286626796,453.3682648773787","66.9647375322038,655.0648492597884","62.99803559418319,653.9776278840892"
"57.01858811434141,348.72725965447927","159.18592905719925,303.45237375697275","205.2195114254488,309.4232151016651","148.61988462455543,242.06371084725345","276.66411255120306,318.2616163320578","144.40248814445528,248.29279235364862","136.02861017011946,243.90270960470116","132.63642622060814,287.3331166426959","241.0506839974845,281.60376641536965","49.33286395239924,355.20412281793375","273.98437497031364,289.85207257103826","119.51403957025553,483.9683829578444","168.89139470794322,441.341833567341","139.1602434091531,502.2374223642312","171.12719886868848,511.2617611421221","66.74191082312439,653.737352423167","64.20976453254195,651.6132339893148"
"224.69255591366544,289.8606207584129","218.62339797558025,273.2266778611951","231.0612640677723,273.3335784437127","174.3196311386643,229.09360210255426","295.66363578826076,311.4435396305782","180.57257762864407,249.56296037607154","148.91688383228586,247.6800629137091","138.6418089514113,296.0217219846258","259.01888482951006,289.7869288225582","69.23389805893953,361.9770658619209","73.58023641267175,352.3609146533773","185.02184530176544,393.91714608159043","182.86945138181693,398.7299878309673","88.52373376987327,564.7466310731168","209.78684053532345,550.3223463718992","191.05076688180174,584.3435532388056","190.76917035292098,584.5305327775413"
"268.5084617406942,315.64809005084203","290.9794627683172,313.81271896659166","277.63450064455026,314.0018210800705","189.86348510623446,266.85754501402147","311.9807738070358,321.06268173989616","189.34232570781785,247.6915827057241","133.68577961606275,246.51038915730635","239.2272928438298,237.93649933217563","242.06422664775926,244.1348035047954","246.60017062532302,275.32032769941634","274.78452191185863,274.9128126448694","193.40312506531,379.29754591173696","180.5266208277602,394.141328566733","149.00678754873314,527.4489406481791","176.2379507220673,526.7861956288378","78.98628680158686,659.1763923140351","194.31064626493344,589.9154277163257"
"170.2359693356525,315.12483678439247","155.5578541440259,301.4120391370721","180.7373495732764,296.58233256655444","157.03082952239635,282.455131144839","230.90949840026144,309.8128426399676","179.8392013965414,241.07561371205844","184.53638069360636,235.20603847874742","204.77550070202307,253.55091169186602","202.5093550032679,251.93540075873585","231.93181497299253,280.958407212788","232.57422456852657,285.1089863461743","232.04867820888177,536.0213639671236","307.2754196879465,535.1618369729603","226.01699303652993,638.2857801385427","280.13029506698194,635.8932524803547","200.58541160613186,620.0652512131034","201.75787047746115,616.4755142152541"
"200.49326609451947,339.6251188641856","187.09956425173277,318.4652677305941","222.02822101162565,309.78646482475074","142.82542389747238,336.2885085525216","261.419132395941,320.6962095624278","139.67632011680752,448.1241159401979","336.0032710212678,398.5852668257539","204.15150861331927,592.146832655376","270.93684770161076,548.12150650915","31.747758857934855,411.7985647476137","278.25553588273465,308.2635560388231","240.05163571250114,626.6464292771158","337.5922786252508,610.4596742860074","201.38700798420592,615.8622444835618","218.7213992107703,465.2128880126003","159.51419744231822,614.4089754453429","192.77157658083433,609.5724380433791"
"119.34084156793381,527.9374801695114","115.43122810334086,519.6155978547923","141.09699982520675,325.45087346770885","107.73866260098112,518.0037917793957","259.70964762765607,344.91090885859984","185.11974990785353,261.75921696169365","186.52481435337887,260.72527221204706","18.58648865696057,361.6229432102307","56.03142520889702,352.05970200119316","141.7792785882022,307.5755330839046","109.33485941014868,304.6247682682735","236.790190937918,303.8335688847048","229.55419794223656,355.46886577680414","95.75332991900615,635.2116358419337","179.009234714137,517.8842329329553","73.92125983924717,659.2533452965406","101.98695058859744,654.2899165172057"
