0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"373.5926874064286,357.9126053747036","370.1420235244217,318.1536158699006","372.5627564604644,339.4868813600058","366.01559368089016,334.19063286094814","196.25834109532695,37.76290092022966","320.1377774249719,367.8291202055341","275.59031199295697,254.60038982940554","332.3825012682013,275.0757106083376","314.0562509618381,268.48337937885685","46.11430317325818,357.95652337575234","356.55164280754116,328.8349908613509","271.6646001199804,441.2155596662588","257.64336956335876,443.4469646053091","267.6779346094985,620.5902604277495","236.19439522116102,579.6334826992643","109.8897037135024,356.64222509480635","147.3059993996231,372.03297596497293"
"379.5252117943671,352.23109026363386","370.898861302476,313.9307920107118","383.4750229653681,341.9254110017175","365.60410831317824,332.88015521453974","194.22967107750566,150.31271611670113","318.01622751436344,263.1585726014371","301.76236223154035,267.7152002831841","232.50403318887555,211.1207390573702","261.15299652337103,222.81307710283923","66.7666092215809,324.0542964712655","63.52292487593479,316.2776843119224","268.99912499453774,418.03310705993886","270.8613030697121,421.3674404277875","227.7197524193196,486.4500587552438","222.55562265002777,488.5247790859831","234.07207227773705,573.6661918432332","234.2736212585687,570.4218170522252"
"18.552591167999196,376.0287036227809","327.95462727825003,336.3408396680067","33.06206925091578,355.6702402315251","315.3270975847653,339.2680632001231","312.1138900578718,242.26290483882917","270.90766571282415,371.04258258982856","316.4056329690065,275.7750796900649","292.837679050312,333.67808894888435","86.2037849871565,482.4226082530931","205.52719781185402,145.27267203720626","208.0111068547468,144.50532267529675","133.77336423406342,532.189962186702","194.0493031958198,564.0644741429429","102.90531357345878,570.4200418078946","228.40779027679088,620.214217367803","323.4767187393129,435.82607224757567","221.46707649082526,646.503347552704"
"373.4487873478158,336.45395360568153","366.3109308680672,330.582680312576","28.76076005868879,351.90822734906976","349.9172626005536,330.94934545138466","355.11192716605933,338.07783906098007","306.1090871016803,379.78334538203734","194.3626713734193,68.59539269473302","328.6389545782067,269.6495412388664","308.4649432586789,264.8634825235211","329.3157254823915,309.450962942398","337.2635077688017,284.6836995521872","230.92412804629555,266.1859430691611","234.60900154559067,291.8049571115219","278.5610191256156,441.92569599077393","276.5551342500323,441.7949839788652","234.47812708991978,655.8468829796935","234.13045558113072,653.9512307727383"
"60.92572787392464,377.01500621751126","373.58079236397947,305.0918311924322","63.54429923328445,358.7197240688457","373.3952741511601,316.7211866564324","94.38927486434523,348.5506614358508","320.96598545772093,281.1036685097542","312.7234071071046,268.4252401270291","334.27604514986626,244.47933597787343","320.4917878028484,248.790150208232","69.12296784990957,307.3423393041707","209.2533705893194,477.2113785205648","311.4847379751243,402.4951266871352","272.6911876990174,402.85044569913515","259.70929976288915,533.829014403347","218.42211955623407,493.53046639884025","244.5348781778655,549.1253299935782","263.8834064053191,599.0579746112749"
"398.8720200238061,331.02340401378586","381.09569559950774,316.35305501143756","409.26333005140725,322.8519543599526","366.7818624592941,317.8042979555835","404.07610592675115,337.3470172807864","336.8796196726046,367.3541265702897","317.23177313897395,368.40476247587094","314.3588739833016,360.7977633346379","133.97396624969605,365.81819289389284","90.21223069721623,356.749125677324","92.43415891892255,359.36340450776686","279.22033881398954,402.74655531352596","145.04194088946986,478.96998958365","238.98703424476003,478.30612538853507","247.68691948322936,512.1479553935129","251.04443291096374,581.9142857414275","247.59421352282573,593.4903452832411"
"358.6893684298148,326.5546895186725","360.58742489054043,318.2974685490827","374.62717924600446,318.308525233881","341.6308146376554,313.5132429664701","388.56248720517885,326.6148548645732","308.3913118829987,363.02947701183274","336.4993841564609,387.88185564924305","312.20068231723656,411.21613023809886","231.8168070158606,184.8650490727406","74.69924006480653,327.00120206009086","336.87223720921617,326.24224651648376","272.36367302089354,408.4457456833657","259.63905040577697,407.03867159001095","230.28343844877605,505.60513804394907","230.10734157339607,506.55543405258237","244.77797767253242,596.5893815927468","244.09140857741062,594.6144608672026"
"213.427709141594,-2.7019122231331316","318.38361135994876,287.44389574815324","9.074242558460753,336.2036441550644","322.5846775218207,289.1666931864816","188.3231399179897,165.41935070943276","156.9363649123374,16.595261384540958","220.43983183389508,22.41075920223726","207.06247963515705,178.86377772468538","222.4598825358231,193.0083649631604","31.985582403635703,304.4350293823717","159.8524766023985,208.29779183354358","258.100386563906,391.18956035213245","223.64654588513804,248.61762347388358","235.67512975314247,536.8385552432286","234.54750678511448,536.3239273486898","230.72124558385707,608.4775368063366","244.17593971578992,615.3616641745957"
"213.427709141594,-2.7019122231331316","318.38361135994876,287.44389574815324","9.074242558460753,336.2036441550644","322.5846775218207,289.1666931864816","188.3231399179897,165.41935070943276","156.9363649123374,16.595261384540958","220.43983183389508,22.41075920223726","207.06247963515705,178.86377772468538","222.4598825358231,193.0083649631604","31.985582403635703,304.4350293823717","159.8524766023985,208.29779183354358","258.100386563906,391.18956035213245","223.64654588513804,248.61762347388358","235.67512975314247,536.8385552432286","234.54750678511448,536.3239273486898","230.72124558385707,608.4775368063366","244.17593971578992,615.3616641745957"
"213.427709141594,-2.7019122231331316","318.38361135994876,287.44389574815324","9.074242558460753,336.2036441550644","322.5846775218207,289.1666931864816","188.3231399179897,165.41935070943276","156.9363649123374,16.595261384540958","220.43983183389508,22.41075920223726","207.06247963515705,178.86377772468538","222.4598825358231,193.0083649631604","31.985582403635703,304.4350293823717","159.8524766023985,208.29779183354358","258.100386563906,391.18956035213245","223.64654588513804,248.61762347388358","235.67512975314247,536.8385552432286","234.54750678511448,536.3239273486898","230.72124558385707,608.4775368063366","244.17593971578992,615.3616641745957"
"213.427709141594,-2.7019122231331316","318.38361135994876,287.44389574815324","9.074242558460753,336.2036441550644","322.5846775218207,289.1666931864816","188.3231399179897,165.41935070943276","156.9363649123374,16.595261384540958","220.43983183389508,22.41075920223726","207.06247963515705,178.86377772468538","222.4598825358231,193.0083649631604","31.985582403635703,304.4350293823717","159.8524766023985,208.29779183354358","258.100386563906,391.18956035213245","223.64654588513804,248.61762347388358","235.67512975314247,536.8385552432286","234.54750678511448,536.3239273486898","230.72124558385707,608.4775368063366","244.17593971578992,615.3616641745957"
"213.427709141594,-2.7019122231331316","318.38361135994876,287.44389574815324","9.074242558460753,336.2036441550644","322.5846775218207,289.1666931864816","188.3231399179897,165.41935070943276","156.9363649123374,16.595261384540958","220.43983183389508,22.41075920223726","207.06247963515705,178.86377772468538","222.4598825358231,193.0083649631604","31.985582403635703,304.4350293823717","159.8524766023985,208.29779183354358","258.100386563906,391.18956035213245","223.64654588513804,248.61762347388358","235.67512975314247,536.8385552432286","234.54750678511448,536.3239273486898","230.72124558385707,608.4775368063366","244.17593971578992,615.3616641745957"
"213.427709141594,-2.7019122231331316","318.38361135994876,287.44389574815324","9.074242558460753,336.2036441550644","322.5846775218207,289.1666931864816","188.3231399179897,165.41935070943276","156.9363649123374,16.595261384540958","220.43983183389508,22.41075920223726","207.06247963515705,178.86377772468538","222.4598825358231,193.0083649631604","31.985582403635703,304.4350293823717","159.8524766023985,208.29779183354358","258.100386563906,391.18956035213245","223.64654588513804,248.61762347388358","235.67512975314247,536.8385552432286","234.54750678511448,536.3239273486898","230.72124558385707,608.4775368063366","244.17593971578992,615.3616641745957"
