0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"185.45949783028334,164.68582747047512","380.5794159707392,368.88087528688897","196.4691278183043,163.47165682900277","270.8524518439742,152.47939217415302","221.72306630769128,153.8911359319427","261.78444837874474,205.79581650314628","238.19378662109375,205.19838889749133","301.7842390602201,285.2175849884864","293.5176580406812,278.25768170189764","342.03000878360024,329.44841496211546","346.38098533422567,327.0949812714692","231.7545392225689,428.5621197771005","276.8701451223648,426.94352146252584","264.0069370492423,611.6192947565813","253.89238243251458,614.2091446813442","263.3082893163778,659.8786944081347","263.43413905874763,659.8844832483433"
"176.49900390387512,225.74832782671143","345.1369822758181,375.8061420128967","180.56527246853722,219.20018474415582","187.79662726732545,242.18315391688958","209.19048436977522,195.78639078696878","237.47082700618046,243.43881124652313","227.42281118905038,243.48325024319064","151.56490774191775,355.912290936778","305.8630500823143,311.78681785494433","325.5776673253872,372.16700691193455","321.7888015865816,351.42439608444033","200.68037868752089,436.9890888377386","271.84067766954,441.1197350646735","260.2267099521504,615.1329278018223","267.17963765660147,617.1942180232779","264.91863262606967,655.1377114618798","269.0403469694264,655.6238196703247"
"375.45045919455447,401.01360810869863","378.9408473003699,390.3505644445753","370.6514134982217,381.5669642348234","366.670777643701,363.253466535635","224.92632103708468,164.2068974238889","257.2138725310448,234.9281162603356","256.6216327652393,236.23517849102095","216.94591676585873,346.60626719433975","311.97455089287075,289.62868122739087","185.5851543144493,407.12990371169747","365.0341222295501,330.103904635062","224.79059580049625,421.28666681074446","289.47774989502904,403.13128163378525","226.76584925076378,499.5797272322243","229.38229476988084,499.50099900538817","247.40507171868353,658.241070105408","260.8845415523544,659.2197700233311"
"367.9406579756087,407.57437086290884","381.3341665601916,387.2155987335086","224.0479238487867,52.48027942523882","348.32203208240554,327.17351653696494","221.6852650030114,163.79602484202107","260.6064816486047,228.63501018123404","240.26864534964358,236.06226583399197","295.19973879565526,299.801332941315","297.6539827042517,301.70873649389364","202.54504979352544,423.67822966223093","351.45383925382265,363.4451157388056","225.22111710129082,440.62424893509086","276.64196516103783,453.2984128721957","228.51962879937912,589.0721480670142","265.04042394615794,617.9422905472929","261.2990417480469,655.7889173930721","265.60784935858464,655.3199441516446"
"339.80465989168516,417.3924754101942","337.49118525879857,408.29531302247995","178.8588411798737,209.21181111020337","316.51347104677427,393.8770487150793","204.96095127447109,197.9154490311322","237.6946973095608,267.85646728040643","188.4425541621702,266.9673786089114","148.91189777062561,354.9531572987597","292.35061039906066,298.6963784184437","284.9167403284214,406.26532113041856","327.32574575698794,355.3645508762463","200.65162186678282,432.9859900567318","266.03207044193255,436.10243147913116","229.76544848490317,638.153794581788","264.5607570841155,632.0209043035247","262.9940514768608,663.8276096447896","261.60893127797647,663.0928128609861"
"368.6666420814128,402.2856864483904","370.35101294610286,392.24710427369587","365.5553782570687,399.2878776579979","364.0842774832759,370.90098755832776","203.84239211620525,178.6823940648179","264.7822503115881,242.77386646790262","250.64978033281022,248.2007690904669","322.1332650091862,302.58663340765213","312.19285535997915,294.86491874962","177.16044943249182,413.0327840723416","352.2361774518796,361.77723509792224","221.50725487141295,431.5093341040704","237.16793342323155,430.86993740690355","240.26926377589604,610.7532070768482","230.8653968781349,613.6164060362581","264.37219505458495,668.7150116560524","258.32388967669897,668.9367628283073"
"377.56357338456326,403.0337975646735","378.38064974476856,393.7685272573033","380.3719919405095,383.10409427152996","367.7908152272265,339.7519330570206","219.9983141412995,160.00086120130487","330.0523871039602,312.54527169906675","238.21516097844346,224.90049428976926","324.1246168678373,304.42541990762555","299.3048522592983,288.136800624981","201.5009723470369,410.2772189485424","344.84270800876243,357.2322622811284","221.49621982797112,447.181538385176","278.2206141252926,446.6494667854754","238.79864614761294,629.1519936884423","261.57114929911694,629.5292717009667","246.48825479945322,667.6746412937742","261.4204079000866,667.6196859040613"
"155.56558447218129,206.43878298510836","136.9063116288835,196.1999648276006","165.59641963498603,188.2980821661448","173.30475500678273,349.8043698559475","188.8868740987221,178.76436404217077","233.58875283564112,218.7757662762","226.52010211870368,228.9454463854838","264.8068907325834,293.8941109505145","267.34956959527756,285.57078142574323","170.33851213863392,433.1156986696711","311.8681042741709,339.2818406398194","195.48045749886955,448.5764559140929","272.57546468653106,448.9343992003207","262.1422466174174,632.4179415572942","265.12085801061494,632.0350676659016","260.3325188187774,658.3627901188594","258.6374124608615,657.069871954417"
"145.4628572575313,224.10124841831072","371.48272332514307,382.73630995694765","160.01833079297256,212.93270393104405","353.3699556937014,366.82016394945435","190.41595233368042,197.40863607087488","222.2531735609478,243.44498600941222","232.9433090863061,244.97789019276658","170.2612088570799,368.31750535779423","298.1391767509253,297.16108151446986","182.25651366237537,411.571603619171","349.1233385731738,345.26657520101224","198.82123476614748,449.42699090979903","269.9152075325933,451.92661211184486","255.4434341252546,632.3637966052104","256.4662724951362,636.2552479547285","263.8238442268817,667.785632656706","262.04675773887783,669.4991293584326"
"378.88173927871173,384.0597160131551","385.5833153631901,369.3692218468811","367.66074279310175,372.70884235545356","380.74854588786917,366.0828586682271","212.22094693907508,160.86571392846014","259.9593952045367,213.75689970380137","234.6966441410525,218.62811225861427","315.940441146435,299.3551291380411","317.9690145351544,281.08529859015914","359.71281556303865,337.99139238053255","346.79898350340846,350.13776845969113","222.86230409377282,455.99342672741363","263.4463916288739,450.0472844342777","240.81707348062838,623.2165028612901","257.9337013630552,627.4865443604465","196.47629769766843,397.00761490758754","251.07506433627952,670.0002885514195"
