±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[399.65625, 439.5762939453125]","[413.17962646484375, 419.2912902832031]","[386.13287353515625, 419.2912902832031]","[433.46466064453125, 419.2912902832031]","[352.32452392578125, 412.52960205078125]","[460.51129150390625, 507.19305419921875]","[298.23114013671875, 500.431396484375]","[514.604736328125, 608.6181640625]","[237.37606811523438, 608.6181640625]","[582.221435546875, 682.99658203125]","[190.0443572998047, 710.0432739257812]","[426.70294189453125, 737.0899658203125]","[318.51617431640625, 737.0899658203125]","[433.46466064453125, 926.4168090820312]","[318.51617431640625, 919.6551513671875]","[406.41790771484375, 1095.45849609375]","[325.27783203125, 1102.22021484375]"
"[398.8896484375, 440.9056396484375]","[412.2836608886719, 427.51165771484375]","[385.49566650390625, 427.51165771484375]","[432.3746032714844, 420.81463623046875]","[352.01068115234375, 420.81463623046875]","[459.16259765625, 514.5725708007812]","[298.4346923828125, 507.8756103515625]","[506.0415954589844, 615.0275268554688]","[244.8587188720703, 621.7245483398438]","[579.70849609375, 702.0885620117188]","[191.28273010253906, 715.4824829101562]","[425.6776428222656, 748.9674682617188]","[325.2226867675781, 742.2705078125]","[432.3746032714844, 929.7864379882812]","[318.52569580078125, 929.7864379882812]","[405.5866394042969, 1097.211181640625]","[325.2226867675781, 1103.908203125]"
"[401.91937255859375, 438.79608154296875]","[415.455322265625, 425.2601318359375]","[381.615478515625, 425.2601318359375]","[428.9912109375, 425.2601318359375]","[354.54364013671875, 418.4921875]","[449.29510498046875, 513.24365234375]","[300.39996337890625, 506.4756774902344]","[510.20672607421875, 621.5310668945312]","[246.2562255859375, 621.5310668945312]","[564.3504028320312, 709.5145874023438]","[192.112548828125, 723.0504760742188]","[422.22320556640625, 750.1222534179688]","[320.703857421875, 743.3543090820312]","[428.9912109375, 932.8572387695312]","[320.703857421875, 926.0892944335938]","[401.91937255859375, 1102.05615234375]","[327.4718017578125, 1102.05615234375]"
"[400.83294677734375, 439.97698974609375]","[421.10833740234375, 426.4600830078125]","[387.31610107421875, 426.4600830078125]","[434.62518310546875, 419.7016296386719]","[346.765380859375, 412.94317626953125]","[448.14208984375, 514.3198852539062]","[292.69781494140625, 500.802978515625]","[502.2095947265625, 615.6965942382812]","[252.14715576171875, 615.6965942382812]","[549.5187377929688, 710.3148193359375]","[204.8380126953125, 717.0732421875]","[421.10833740234375, 744.1069946289062]","[326.49005126953125, 744.1069946289062]","[427.86676025390625, 933.343505859375]","[319.73162841796875, 926.5850830078125]","[400.83294677734375, 1095.546142578125]","[326.49005126953125, 1102.3045654296875]"
"[395.5498046875, 440.4708251953125]","[415.813232421875, 426.9619140625]","[382.0408935546875, 426.9619140625]","[429.32220458984375, 420.20745849609375]","[348.2685546875, 413.4529724121094]","[449.5855712890625, 508.0155029296875]","[294.23284912109375, 501.26104736328125]","[490.11236572265625, 609.33251953125]","[253.7060546875, 609.33251953125]","[530.63916015625, 703.89501953125]","[213.17926025390625, 710.6494750976562]","[422.56768798828125, 751.17626953125]","[321.250732421875, 744.4218139648438]","[422.56768798828125, 933.5468139648438]","[321.250732421875, 926.7923583984375]","[402.3043212890625, 1095.6539306640625]","[328.00518798828125, 1102.4083251953125]"
"[400.58447265625, 441.0504150390625]","[414.08404541015625, 420.801025390625]","[380.3350830078125, 420.801025390625]","[427.5836181640625, 420.801025390625]","[346.5860595703125, 414.0512390136719]","[447.8330078125, 508.5483703613281]","[292.58770751953125, 501.798583984375]","[488.331787109375, 603.0455322265625]","[252.08892822265625, 603.0455322265625]","[522.0807495117188, 697.5426635742188]","[211.59017944335938, 704.29248046875]","[420.8338623046875, 744.7911987304688]","[326.336669921875, 744.7911987304688]","[420.8338623046875, 927.0357055664062]","[319.5869140625, 927.0357055664062]","[400.58447265625, 1095.7803955078125]","[326.336669921875, 1102.5302734375]"
"[404.18536376953125, 438.22344970703125]","[417.73052978515625, 424.67828369140625]","[383.86761474609375, 424.67828369140625]","[431.275634765625, 417.90570068359375]","[343.232177734375, 417.90570068359375]","[444.82080078125, 505.94921875]","[289.05157470703125, 499.1766357421875]","[492.2288818359375, 600.7652587890625]","[248.41610717773438, 600.7652587890625]","[512.546630859375, 675.2635498046875]","[214.55325317382812, 688.8087158203125]","[417.73052978515625, 742.9893188476562]","[322.91448974609375, 736.2167358398438]","[417.73052978515625, 925.8488159179688]","[316.14190673828125, 925.8488159179688]","[404.18536376953125, 1095.1630859375]","[329.68707275390625, 1101.9356689453125]"
"[400.0544128417969, 440.10235595703125]","[413.2503356933594, 420.30853271484375]","[380.2606201171875, 420.30853271484375]","[426.4461364746094, 420.30853271484375]","[340.6729736328125, 413.71063232421875]","[446.2399597167969, 506.08172607421875]","[294.4874267578125, 506.08172607421875]","[492.4255065917969, 585.2569580078125]","[254.89981079101562, 598.4528198242188]","[505.6214294433594, 657.8342895507812]","[215.31219482421875, 677.6280517578125]","[419.8482360839844, 743.6074829101562]","[320.879150390625, 743.6074829101562]","[413.2503356933594, 928.3496704101562]","[320.879150390625, 921.751708984375]","[400.0544128417969, 1099.8958740234375]","[327.47711181640625, 1099.8958740234375]"
"[390.78973388671875, 441.1617126464844]","[410.8746337890625, 421.07684326171875]","[377.39984130859375, 421.07684326171875]","[424.2645263671875, 421.07684326171875]","[343.92510986328125, 414.38189697265625]","[444.349365234375, 514.8062133789062]","[290.365478515625, 508.1112365722656]","[497.90899658203125, 595.1455688476562]","[250.19580078125, 601.8405151367188]","[511.29888916015625, 642.0103149414062]","[216.72103881835938, 662.0950927734375]","[417.569580078125, 749.1294555664062]","[317.14532470703125, 742.4345092773438]","[410.8746337890625, 929.8931274414062]","[317.14532470703125, 923.1981811523438]","[404.1796875, 1097.266845703125]","[323.84027099609375, 1103.9617919921875]"
"[391.722900390625, 438.70770263671875]","[405.15203857421875, 425.2785339355469]","[378.293701171875, 425.2785339355469]","[418.58111572265625, 418.56396484375]","[338.00634765625, 418.56396484375]","[445.439453125, 519.282470703125]","[291.00439453125, 505.85333251953125]","[505.87054443359375, 593.1427001953125]","[244.00241088867188, 593.1427001953125]","[519.2996215820312, 613.2864379882812]","[210.4295654296875, 653.5737915039062]","[411.8665771484375, 740.8631591796875]","[317.8626708984375, 734.1486206054688]","[411.8665771484375, 928.8710327148438]","[317.8626708984375, 922.156494140625]","[398.43743896484375, 1096.735107421875]","[324.57720947265625, 1103.44970703125]"
