±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[405.3066101074219, 56.98984146118164]","[354.16717529296875, 28.22391128540039]","[395.71795654296875, 50.597415924072266]","[357.3634033203125, 41.0087776184082]","[376.5406799316406, 50.597415924072266]","[344.57855224609375, 69.77468872070312]","[319.0088195800781, 79.36334228515625]","[379.73687744140625, 72.97091674804688]","[328.59747314453125, 111.32548522949219]","[350.9709777832031, 31.42013931274414]","[347.7747497558594, 37.812564849853516]","[408.5028076171875, 143.28762817382812]","[398.9141845703125, 188.03460693359375]","[491.6043701171875, 76.16712951660156]","[507.58544921875, 130.50277709960938]","[545.9400634765625, 172.05355834960938]","[552.3324584960938, 207.2119140625]"
"[256.495849609375, 65.54507446289062]","[263.6331787109375, 58.40774917602539]","[267.20184326171875, 58.40774917602539]","[270.7705078125, 61.97639846801758]","[281.47650146484375, 58.40774917602539]","[256.495849609375, 119.07505798339844]","[310.0258483886719, 83.38841247558594]","[335.0065002441406, 33.427066802978516]","[327.8691711425781, 40.56441116333008]","[292.1824951171875, 29.858402252197266]","[267.20184326171875, 69.11372375488281]","[395.673828125, 151.1930694580078]","[399.24249267578125, 186.8797149658203]","[484.8905029296875, 79.81973266601562]","[502.73382568359375, 129.7810516357422]","[534.851806640625, 176.17372131347656]","[552.6951293945312, 211.8603973388672]"
"[255.9724884033203, 65.60894775390625]","[263.1195983886719, 58.46184158325195]","[266.69317626953125, 58.46184158325195]","[270.2667236328125, 62.0353889465332]","[291.7080078125, 58.46184158325195]","[259.5460510253906, 119.21223449707031]","[313.14935302734375, 87.05026245117188]","[334.5906677246094, 33.446964263916016]","[270.2667236328125, 137.0800018310547]","[288.13446044921875, 29.873416900634766]","[266.69317626953125, 69.18247985839844]","[395.341064453125, 147.80064392089844]","[398.91461181640625, 187.10972595214844]","[484.67987060546875, 79.90313720703125]","[502.5476379394531, 129.93287658691406]","[534.7096557617188, 176.3890838623047]","[552.577392578125, 208.55104064941406]"
"[280.4772644042969, 73.244873046875]","[276.7496643066406, 69.51725769042969]","[265.56683349609375, 69.51725769042969]","[250.6564178466797, 91.88288879394531]","[243.20120239257812, 88.15530395507812]","[287.9324951171875, 110.52091979980469]","[254.38401794433594, 144.06935119628906]","[287.9324951171875, 47.15164566040039]","[250.6564178466797, 203.7110137939453]","[261.8392333984375, 76.97248840332031]","[235.74598693847656, 132.8865203857422]","[392.3053894042969, 151.52455139160156]","[388.5777587890625, 188.8005828857422]","[481.76788330078125, 80.7000732421875]","[496.67828369140625, 132.8865203857422]","[541.4095458984375, 188.8005828857422]","[552.5923461914062, 207.43861389160156]"
"[255.22671508789062, 91.39155578613281]","[219.68336486816406, 107.18861389160156]","[243.37893676757812, 91.39155578613281]","[207.8355712890625, 122.98567199707031]","[239.42967224121094, 95.34083557128906]","[274.9730224609375, 111.13789367675781]","[247.32818603515625, 162.47828674316406]","[267.07452392578125, 51.89897537231445]","[231.53114318847656, 198.02162170410156]","[259.1759948730469, 95.34083557128906]","[235.48040771484375, 146.6812286376953]","[385.5523681640625, 150.63047790527344]","[389.5016174316406, 186.17384338378906]","[480.3346252441406, 83.49305725097656]","[492.1824035644531, 130.8842010498047]","[547.4721069335938, 190.1231231689453]","[547.4721069335938, 209.8694305419922]"
"[255.9844207763672, 101.59913635253906]","[252.00196838378906, 97.61665344238281]","[240.05455017089844, 97.61665344238281]","[208.1947784423828, 125.49397277832031]","[228.1071319580078, 113.54655456542969]","[271.9143371582031, 125.49397277832031]","[232.08961486816406, 173.2836151123047]","[259.9669189453125, 121.51152038574219]","[212.17724609375, 197.17845153808594]","[248.0194854736328, 101.59913635253906]","[220.14219665527344, 137.44139099121094]","[387.4060363769531, 149.38880920410156]","[383.4235534667969, 185.2310333251953]","[479.00286865234375, 81.68678283691406]","[490.9502868652344, 133.4589080810547]","[546.7048950195312, 193.1959686279297]","[546.7048950195312, 209.1259002685547]"
"[214.9858856201172, 122.1171875]","[206.6038055419922, 109.5440673828125]","[198.2217254638672, 122.1171875]","[227.5590057373047, 113.735107421875]","[210.7948455810547, 126.3082275390625]","[265.27838134765625, 130.499267578125]","[235.9410858154297, 172.40966796875]","[231.7500457763672, 113.735107421875]","[223.3679656982422, 168.2186279296875]","[227.5590057373047, 101.1619873046875]","[194.0306854248047, 143.0723876953125]","[382.62750244140625, 143.0723876953125]","[382.62750244140625, 180.791748046875]","[474.83038330078125, 84.3978271484375]","[487.40350341796875, 130.499267578125]","[546.0780639648438, 193.3648681640625]","[546.0780639648438, 210.1290283203125]"
"[206.2790069580078, 122.30441284179688]","[210.64247131347656, 117.94094848632812]","[201.91551208496094, 117.94094848632812]","[201.91551208496094, 126.66790771484375]","[197.55203247070312, 131.03140258789062]","[241.18687438964844, 139.75836181640625]","[228.09642028808594, 174.66619873046875]","[223.73292541503906, 117.94094848632812]","[167.00767517089844, 144.121826171875]","[197.55203247070312, 157.2122802734375]","[188.82505798339844, 165.93927001953125]","[372.0913391113281, 144.121826171875]","[372.0913391113281, 174.66619873046875]","[472.451416015625, 83.03311157226562]","[481.1783752441406, 131.03140258789062]","[546.630615234375, 183.39315795898438]","[546.630615234375, 213.93753051757812]"
"[210.84580993652344, 122.4857177734375]","[210.84580993652344, 118.12429809570312]","[206.4844207763672, 113.76290893554688]","[202.1230010986328, 131.20852661132812]","[206.4844207763672, 126.84713745117188]","[245.7371063232422, 139.93136596679688]","[228.2914581298828, 174.82260131835938]","[228.2914581298828, 118.12429809570312]","[167.2317352294922, 144.29275512695312]","[197.7615966796875, 157.37698364257812]","[193.4001922607422, 170.46121215820312]","[372.21795654296875, 144.29275512695312]","[372.21795654296875, 174.82260131835938]","[472.53033447265625, 83.2330322265625]","[481.2531433105469, 131.20852661132812]","[542.3128662109375, 183.54544067382812]","[546.67431640625, 209.7138671875]"
"[212.6793975830078, 113.74859619140625]","[216.97828674316406, 105.15081787109375]","[204.08160400390625, 113.74859619140625]","[216.97828674316406, 118.0474853515625]","[204.08160400390625, 130.94415283203125]","[251.3694610595703, 126.64529418945312]","[225.5760955810547, 178.23202514648438]","[216.97828674316406, 100.85189819335938]","[169.69044494628906, 126.64529418945312]","[212.6793975830078, 105.15081787109375]","[182.58712768554688, 143.84088134765625]","[376.0374450683594, 143.84088134765625]","[371.73858642578125, 173.93313598632812]","[474.9120788574219, 87.95523071289062]","[483.5098571777344, 130.94415283203125]","[543.6943969726562, 186.829833984375]","[547.9933471679688, 212.62319946289062]"
"[212.6383056640625, 113.85275268554688]","[216.9376220703125, 105.254150390625]","[204.03968811035156, 113.85275268554688]","[216.9376220703125, 118.15206909179688]","[204.03968811035156, 131.05001831054688]","[251.3321075439453, 126.75070190429688]","[225.53623962402344, 178.34243774414062]","[216.9376220703125, 100.954833984375]","[169.64520263671875, 126.75070190429688]","[212.6383056640625, 105.254150390625]","[182.5431365966797, 143.94796752929688]","[376.01214599609375, 143.94796752929688]","[371.71282958984375, 174.04312133789062]","[474.8962707519531, 88.05691528320312]","[483.4949035644531, 131.05001831054688]","[543.6852416992188, 186.9410400390625]","[547.9845581054688, 212.73690795898438]"
