±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[412.4147033691406, 393.91510009765625]","[423.6026916503906, 382.72711181640625]","[395.6326904296875, 382.72711181640625]","[445.9786682128906, 405.10308837890625]","[378.8507080078125, 399.50909423828125]","[473.9486389160156, 494.60699462890625]","[334.0987548828125, 483.41900634765625]","[518.7005615234375, 584.1109619140625]","[278.1587829589844, 572.9229736328125]","[597.0165405273438, 612.0809326171875]","[194.2488250732422, 606.4869384765625]","[445.9786682128906, 684.8028564453125]","[356.4747314453125, 679.2088623046875]","[434.7906799316406, 824.6527709960938]","[373.2567138671875, 824.6527709960938]","[423.6026916503906, 975.6906127929688]","[378.8507080078125, 964.5026245117188]"
"[410.0553283691406, 392.7970886230469]","[426.7289123535156, 381.6813659667969]","[398.9396057128906, 381.6813659667969]","[443.40252685546875, 403.9128112792969]","[376.7081604003906, 398.3549499511719]","[476.74969482421875, 492.8385925292969]","[332.2452697753906, 481.7228698730469]","[515.6547241210938, 581.7643432617188]","[282.2245178222656, 570.6486206054688]","[599.0226440429688, 609.5536499023438]","[193.29872131347656, 603.9957885742188]","[448.96038818359375, 676.248046875]","[360.0345764160156, 676.248046875]","[432.2867736816406, 826.3102416992188]","[371.1502990722656, 820.7523803710938]","[421.1710510253906, 965.2567749023438]","[376.7081604003906, 959.6989135742188]"
"[410.7193603515625, 398.1876220703125]","[427.2240295410156, 387.1845397949219]","[399.7162780761719, 387.1845397949219]","[443.72869873046875, 403.6891784667969]","[377.7100830078125, 403.6891784667969]","[476.73797607421875, 497.215576171875]","[333.6976318359375, 486.2124938964844]","[515.2489013671875, 590.741943359375]","[284.1836853027344, 574.2373046875]","[597.7721557617188, 618.2496948242188]","[196.15882873535156, 607.2466430664062]","[449.2302551269531, 684.2683715820312]","[361.2054138183594, 678.7667846679688]","[432.7255859375, 827.3086547851562]","[372.20849609375, 821.80712890625]","[421.72247314453125, 975.8505249023438]","[377.7100830078125, 964.8474731445312]"
"[408.0420837402344, 405.62249755859375]","[424.78485107421875, 394.46063232421875]","[396.8802185058594, 394.46063232421875]","[447.1085205078125, 411.20343017578125]","[380.1374206542969, 405.62249755859375]","[475.0131530761719, 506.07916259765625]","[335.4900207519531, 494.91729736328125]","[514.0796508789062, 595.3739624023438]","[285.2616882324219, 584.2120971679688]","[597.7935180664062, 623.2786254882812]","[195.96685791015625, 612.1167602539062]","[447.1085205078125, 695.8306274414062]","[357.813720703125, 690.2496948242188]","[430.36578369140625, 835.3536987304688]","[374.5564880371094, 835.3536987304688]","[424.78485107421875, 991.6196899414062]","[380.1374206542969, 986.0387573242188]"
"[411.0406494140625, 415.2802734375]","[422.5586853027344, 403.76226806640625]","[399.5226135253906, 403.76226806640625]","[445.5947265625, 421.039306640625]","[376.486572265625, 421.039306640625]","[480.1488037109375, 518.9425659179688]","[336.1734619140625, 507.42449951171875]","[514.702880859375, 611.0867309570312]","[284.34234619140625, 599.5687255859375]","[595.3290405273438, 634.122802734375]","[192.19808959960938, 616.8457641601562]","[451.353759765625, 703.23095703125]","[359.2095031738281, 703.23095703125]","[434.0766906738281, 847.206298828125]","[370.7275390625, 841.4473266601562]","[428.31768798828125, 1014.2176513671875]","[382.2455749511719, 1008.4586181640625]"
"[408.0556945800781, 437.7826232910156]","[425.5318603515625, 426.1318359375]","[396.4049377441406, 426.1318359375]","[443.0080261230469, 443.6080017089844]","[378.92877197265625, 437.7826232910156]","[477.9603271484375, 530.9888305664062]","[332.3257141113281, 530.9888305664062]","[512.91259765625, 630.0203247070312]","[285.7226257324219, 612.5441284179688]","[588.6426391601562, 647.4965209960938]","[192.51646423339844, 624.1949462890625]","[448.8334045410156, 729.0518798828125]","[361.45263671875, 729.0518798828125]","[431.35723876953125, 868.861083984375]","[373.1034240722656, 868.861083984375]","[425.5318603515625, 1031.971923828125]","[378.92877197265625, 1031.971923828125]"
"[407.6874084472656, 455.4316101074219]","[424.3697814941406, 444.30999755859375]","[396.5657958984375, 444.30999755859375]","[441.05218505859375, 460.9924011230469]","[379.8833923339844, 460.9924011230469]","[479.977783203125, 555.5260009765625]","[335.3970031738281, 549.9652099609375]","[518.9033813476562, 655.620361328125]","[285.3498229980469, 638.93798828125]","[591.1937255859375, 666.741943359375]","[196.3770294189453, 638.93798828125]","[452.17376708984375, 750.1539306640625]","[357.64019775390625, 750.1539306640625]","[429.9305725097656, 889.1738891601562]","[374.3226013183594, 883.6130981445312]","[424.3697814941406, 1044.876220703125]","[374.3226013183594, 1039.3154296875]"
"[409.7860107421875, 471.8559875488281]","[425.663330078125, 461.2711181640625]","[393.90869140625, 461.2711181640625]","[441.5406494140625, 482.44085693359375]","[378.0313720703125, 482.44085693359375]","[483.880126953125, 577.7047119140625]","[330.39947509765625, 572.4122924804688]","[520.9271850585938, 672.9685668945312]","[282.7675476074219, 657.0912475585938]","[595.0213012695312, 683.553466796875]","[198.08851623535156, 651.798828125]","[452.12548828125, 768.232421875]","[362.1540832519531, 768.232421875]","[436.2481689453125, 900.5433349609375]","[378.0313720703125, 900.5433349609375]","[425.663330078125, 1048.7314453125]","[378.0313720703125, 1048.7314453125]"
"[406.6749267578125, 483.09332275390625]","[422.62884521484375, 472.4573669433594]","[396.0389709472656, 472.4573669433594]","[443.9007263183594, 493.729248046875]","[374.7671203613281, 493.729248046875]","[481.12652587890625, 589.4527587890625]","[332.22332763671875, 584.134765625]","[523.6702880859375, 679.8582763671875]","[284.3616027832031, 669.2223510742188]","[592.803955078125, 690.4942016601562]","[199.27403259277344, 663.9043579101562]","[454.5366516113281, 780.8997192382812]","[364.13116455078125, 780.8997192382812]","[433.2648010253906, 913.8489990234375]","[374.7671203613281, 913.8489990234375]","[422.62884521484375, 1046.798095703125]","[380.0850830078125, 1046.798095703125]"
"[408.2232360839844, 475.83331298828125]","[423.9834899902344, 465.32647705078125]","[397.7164001464844, 465.32647705078125]","[444.9971618652344, 491.59356689453125]","[376.7027282714844, 486.34014892578125]","[481.7710266113281, 586.155029296875]","[329.4220275878906, 580.901611328125]","[518.544921875, 680.7164916992188]","[287.39471435546875, 664.9562377929688]","[597.3461303710938, 691.2233276367188]","[203.3400421142578, 670.2096557617188]","[455.50396728515625, 780.5313110351562]","[360.9425048828125, 775.2778930664062]","[439.7437438964844, 911.8667602539062]","[376.7027282714844, 911.8667602539062]","[423.9834899902344, 1048.4554443359375]","[381.9561462402344, 1048.4554443359375]"
"[410.4040222167969, 465.49627685546875]","[426.7772216796875, 454.580810546875]","[399.4885559082031, 460.0385437011719]","[448.608154296875, 476.4117431640625]","[377.6576232910156, 476.4117431640625]","[481.3545837402344, 574.6509399414062]","[333.9957275390625, 563.7354736328125]","[519.5586547851562, 661.9746704101562]","[290.3338623046875, 651.0592651367188]","[595.9669799804688, 683.8056030273438]","[203.01011657714844, 661.9746704101562]","[454.06591796875, 765.671630859375]","[361.284423828125, 765.671630859375]","[437.69268798828125, 896.6572265625]","[377.6576232910156, 891.1995239257812]","[426.7772216796875, 1044.0159912109375]","[377.6576232910156, 1049.4736328125]"
"[411.5289611816406, 446.5863342285156]","[428.166748046875, 435.49444580078125]","[400.43707275390625, 435.49444580078125]","[444.8045349121094, 457.6781921386719]","[378.2533264160156, 452.13226318359375]","[478.0801696777344, 551.9591674804688]","[333.8858337402344, 546.4131469726562]","[522.4476928710938, 646.2400512695312]","[289.51837158203125, 629.6022338867188]","[600.0907592773438, 673.9697265625]","[200.78335571289062, 651.7859497070312]","[450.3504943847656, 734.9750366210938]","[361.61553955078125, 734.9750366210938]","[433.71270751953125, 884.71533203125]","[372.7073974609375, 884.71533203125]","[428.166748046875, 1040.00146484375]","[378.2533264160156, 1040.00146484375]"
"[413.93157958984375, 431.8843994140625]","[426.04974365234375, 419.7662353515625]","[401.81341552734375, 419.7662353515625]","[450.28607177734375, 437.9434814453125]","[383.63616943359375, 431.8843994140625]","[480.58154296875, 528.8297729492188]","[335.16351318359375, 522.7706909179688]","[516.93603515625, 619.7160034179688]","[286.69085693359375, 607.5978393554688]","[595.7041015625, 656.0704956054688]","[195.8045654296875, 643.9523315429688]","[450.28607177734375, 716.6613159179688]","[365.45892333984375, 716.6613159179688]","[432.10882568359375, 868.1383666992188]","[371.51800537109375, 868.1383666992188]","[426.04974365234375, 1037.792724609375]","[377.57708740234375, 1031.733642578125]"
"[413.77587890625, 410.8843688964844]","[425.65228271484375, 404.9461669921875]","[401.89947509765625, 399.00799560546875]","[449.40496826171875, 422.7607421875]","[378.146728515625, 416.82257080078125]","[479.095947265625, 511.83355712890625]","[342.51763916015625, 505.8953857421875]","[520.6632690429688, 606.8446044921875]","[277.19757080078125, 589.030029296875]","[603.7978515625, 642.4736938476562]","[194.0628662109375, 630.5973510742188]","[455.34320068359375, 701.8555908203125]","[366.2703857421875, 701.8555908203125]","[431.5904541015625, 856.24853515625]","[372.20855712890625, 844.3721313476562]","[425.65228271484375, 1016.57958984375]","[378.146728515625, 1016.57958984375]"
"[413.59027099609375, 405.5829162597656]","[425.3424072265625, 393.830810546875]","[401.838134765625, 393.830810546875]","[448.8465576171875, 411.458984375]","[378.333984375, 411.458984375]","[478.22686767578125, 499.59979248046875]","[337.20159912109375, 493.7237243652344]","[519.3592529296875, 593.6166381835938]","[278.4410400390625, 575.9884643554688]","[601.6239624023438, 634.7489624023438]","[190.30023193359375, 622.9968872070312]","[454.72265625, 687.6334838867188]","[366.58184814453125, 687.6334838867188]","[431.21844482421875, 840.410888671875]","[372.4578857421875, 834.5347900390625]","[425.3424072265625, 999.0643310546875]","[378.333984375, 993.188232421875]"
"[412.0418701171875, 395.8548583984375]","[429.1502380371094, 384.44927978515625]","[400.6362609863281, 384.44927978515625]","[446.2586364746094, 407.2604675292969]","[377.8250732421875, 407.2604675292969]","[480.4754333496094, 498.5052490234375]","[337.9054870605469, 492.80242919921875]","[520.39501953125, 589.7500610351562]","[280.8775329589844, 572.6416625976562]","[600.2341918945312, 623.966796875]","[189.63270568847656, 612.5612182617188]","[451.96142578125, 675.2919921875]","[366.41949462890625, 675.2919921875]","[434.8530578613281, 834.9703369140625]","[377.8250732421875, 823.5647583007812]","[423.44744873046875, 988.9458618164062]","[377.8250732421875, 983.2431030273438]"
