±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[366.5893859863281, 403.78900146484375]","[379.4462585449219, 390.93212890625]","[347.3040466308594, 390.93212890625]","[398.7315673828125, 410.2174377441406]","[321.59027099609375, 416.6458740234375]","[430.8738098144531, 506.64410400390625]","[289.44805908203125, 500.2156677246094]","[501.586669921875, 590.2138671875]","[231.5920867919922, 596.6422729492188]","[591.5848999023438, 603.0707397460938]","[141.59385681152344, 577.3569946289062]","[411.58843994140625, 731.6395874023438]","[308.7333984375, 731.6395874023438]","[405.1600341796875, 924.4928588867188]","[315.1618347167969, 924.4928588867188]","[398.7315673828125, 1104.4891357421875]","[321.59027099609375, 1110.91748046875]"
"[365.5731201171875, 409.8843994140625]","[385.3039855957031, 396.7304992675781]","[352.419189453125, 396.7304992675781]","[398.4578857421875, 416.46136474609375]","[319.534423828125, 409.8843994140625]","[437.91961669921875, 508.5387268066406]","[293.22662353515625, 508.5387268066406]","[516.843017578125, 580.8851928710938]","[227.4570770263672, 587.462158203125]","[608.92041015625, 580.8851928710938]","[141.95664978027344, 554.577392578125]","[405.03485107421875, 732.1551513671875]","[312.95745849609375, 732.1551513671875]","[405.03485107421875, 929.4637451171875]","[312.95745849609375, 922.8867797851562]","[398.4578857421875, 1100.4644775390625]","[326.11138916015625, 1107.04150390625]"
"[371.4330749511719, 402.42718505859375]","[384.3099670410156, 389.5502624511719]","[352.11773681640625, 389.5502624511719]","[403.62530517578125, 408.8656005859375]","[319.92547607421875, 415.3040771484375]","[435.8175354003906, 511.88079833984375]","[294.17169189453125, 505.4423522949219]","[532.3943481445312, 576.2653198242188]","[216.91029357910156, 582.7036743164062]","[622.5325317382812, 563.3883666992188]","[126.77200317382812, 531.1961059570312]","[410.06378173828125, 730.7880249023438]","[313.4870300292969, 730.7880249023438]","[403.62530517578125, 923.9414672851562]","[319.92547607421875, 923.9414672851562]","[397.1868591308594, 1104.2178955078125]","[326.3639221191406, 1104.2178955078125]"
"[371.457275390625, 407.14300537109375]","[384.35968017578125, 394.2406005859375]","[352.10369873046875, 394.2406005859375]","[403.7132873535156, 413.5942077636719]","[326.29888916015625, 413.5942077636719]","[442.42047119140625, 510.3622131347656]","[287.5917053222656, 503.9110107421875]","[539.1884765625, 568.4230346679688]","[203.72608947753906, 574.8742065429688]","[629.5052490234375, 549.0693969726562]","[126.31169128417969, 516.8134155273438]","[410.16448974609375, 729.7029418945312]","[313.396484375, 729.7029418945312]","[403.7132873535156, 923.2389526367188]","[313.396484375, 923.2389526367188]","[397.2621154785156, 1103.8724365234375]","[326.29888916015625, 1103.8724365234375]"
"[365.0538330078125, 406.482666015625]","[384.5665283203125, 393.47418212890625]","[352.0453796386719, 393.47418212890625]","[404.0792236328125, 412.98687744140625]","[326.0284423828125, 412.98687744140625]","[449.6088562011719, 517.0545654296875]","[287.0030517578125, 510.55035400390625]","[547.1723022460938, 569.0884399414062]","[195.94381713867188, 575.5926513671875]","[631.7272338867188, 536.5672607421875]","[117.89303588867188, 510.55035400390625]","[410.5834655761719, 731.6941528320312]","[313.0199890136719, 731.6941528320312]","[404.0792236328125, 926.821044921875]","[313.0199890136719, 920.31689453125]","[397.574951171875, 1102.435302734375]","[326.0284423828125, 1102.435302734375]"
"[371.3959655761719, 398.66650390625]","[384.2337951660156, 392.24755859375]","[352.13922119140625, 392.24755859375]","[403.49053955078125, 411.50433349609375]","[326.4635314941406, 411.50433349609375]","[448.4229431152344, 514.20703125]","[287.9500427246094, 507.7880859375]","[557.5444946289062, 559.139404296875]","[191.66627502441406, 571.977294921875]","[640.9905395507812, 527.0448608398438]","[114.63925170898438, 507.7880859375]","[409.90948486328125, 732.4501953125]","[313.6257019042969, 732.4501953125]","[409.90948486328125, 931.4365844726562]","[320.04461669921875, 925.0177001953125]","[397.0716247558594, 1098.328369140625]","[326.4635314941406, 1104.747314453125]"
"[371.42779541015625, 402.8045654296875]","[384.29913330078125, 389.9332275390625]","[352.12078857421875, 389.9332275390625]","[403.6061706542969, 409.240234375]","[326.3780822753906, 415.6759338378906]","[455.091552734375, 518.646728515625]","[287.7640075683594, 512.2110595703125]","[558.0623168945312, 557.2608032226562]","[197.66456604003906, 570.1321411132812]","[641.7261352539062, 525.0824584960938]","[114.00077819824219, 512.2110595703125]","[410.0418395996094, 731.0239868164062]","[313.5067138671875, 731.0239868164062]","[410.0418395996094, 924.0942993164062]","[313.5067138671875, 924.0942993164062]","[397.1705017089844, 1097.857421875]","[326.3780822753906, 1104.29296875]"
"[371.3810119628906, 399.74334716796875]","[384.20318603515625, 393.332275390625]","[352.1478576660156, 386.9212341308594]","[403.43634033203125, 412.56549072265625]","[326.50360107421875, 412.56549072265625]","[454.724853515625, 515.1425170898438]","[288.0372009277344, 508.7314453125]","[557.3018188476562, 560.0199584960938]","[198.28233337402344, 566.4309692382812]","[647.0567016601562, 534.3756713867188]","[108.52745056152344, 521.5535278320312]","[409.847412109375, 733.11865234375]","[313.6814880371094, 726.7075805664062]","[409.847412109375, 925.4505004882812]","[320.092529296875, 919.0394897460938]","[397.0252990722656, 1098.549072265625]","[326.50360107421875, 1104.9600830078125]"
"[371.4299621582031, 402.64727783203125]","[384.30364990234375, 389.77362060546875]","[352.1195068359375, 389.77362060546875]","[403.6141662597656, 409.0841064453125]","[326.3721618652344, 409.0841064453125]","[448.6719665527344, 518.51025390625]","[287.75115966796875, 505.6365966796875]","[558.0980834960938, 557.1312866210938]","[197.63552856445312, 570.0049438476562]","[648.2138061523438, 544.2576293945312]","[113.95669555664062, 537.8207397460938]","[410.05096435546875, 730.9257202148438]","[313.4985046386719, 730.9257202148438]","[410.05096435546875, 924.0306396484375]","[313.4985046386719, 917.5938110351562]","[397.1772766113281, 1097.824951171875]","[326.3721618652344, 1104.2618408203125]"
"[371.4609680175781, 400.4305725097656]","[390.8203430175781, 387.52435302734375]","[358.5547180175781, 387.52435302734375]","[410.1796569824219, 413.3367919921875]","[332.7422180175781, 406.8836669921875]","[448.8983459472656, 516.5867309570312]","[287.5704040527344, 510.13360595703125]","[552.1482543945312, 561.758544921875]","[210.13294982910156, 574.664794921875]","[642.4920043945312, 561.758544921875]","[119.78929138183594, 555.305419921875]","[416.6327819824219, 735.9927978515625]","[313.38287353515625, 729.5396728515625]","[410.1796569824219, 929.5863647460938]","[313.38287353515625, 923.1332397460938]","[397.2734069824219, 1097.3673095703125]","[326.28912353515625, 1103.8204345703125]"
