±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[391.0914611816406, 420.10076904296875]","[403.9930114746094, 407.1991882324219]","[378.18988037109375, 407.1991882324219]","[423.3453674316406, 426.5515441894531]","[352.3867492675781, 426.5515441894531]","[468.5008239746094, 529.7640991210938]","[313.6820373535156, 523.3132934570312]","[526.5579223632812, 632.9766235351562]","[268.5265808105469, 613.624267578125]","[597.5165405273438, 710.385986328125]","[204.0187225341797, 665.2305297851562]","[442.69769287109375, 768.4430541992188]","[345.93597412109375, 761.9922485351562]","[442.69769287109375, 961.9664916992188]","[352.3867492675781, 955.5157470703125]","[429.796142578125, 1129.686767578125]","[358.8375549316406, 1142.58837890625]"
"[391.4635009765625, 404.31268310546875]","[404.6022644042969, 391.17388916015625]","[371.7552490234375, 391.17388916015625]","[424.3104553222656, 410.882080078125]","[352.04705810546875, 410.882080078125]","[463.7269287109375, 509.423095703125]","[312.6306457519531, 502.85369873046875]","[522.8515014648438, 614.5335693359375]","[273.2142333984375, 601.3947143554688]","[581.9761352539062, 699.935791015625]","[214.08961486816406, 667.0887451171875]","[437.44927978515625, 739.3521728515625]","[338.90826416015625, 732.7827758789062]","[437.44927978515625, 923.29541015625]","[352.04705810546875, 923.29541015625]","[430.8798828125, 1107.2386474609375]","[358.616455078125, 1126.94677734375]"
"[392.7098083496094, 388.29443359375]","[406.1905517578125, 374.81365966796875]","[372.4886474609375, 381.5540771484375]","[426.4117431640625, 395.03485107421875]","[345.527099609375, 401.77520751953125]","[466.8540954589844, 496.14068603515625]","[305.084716796875, 489.40032958984375]","[514.0368041992188, 603.9869384765625]","[271.3827819824219, 603.9869384765625]","[574.7003173828125, 691.6119995117188]","[210.71925354003906, 671.3908081054688]","[439.89251708984375, 725.31396484375]","[345.527099609375, 725.31396484375]","[433.1521301269531, 907.3045043945312]","[352.2674560546875, 907.3045043945312]","[419.67138671875, 1082.5545654296875]","[359.0078430175781, 1096.0352783203125]"
"[391.6217041015625, 375.90557861328125]","[404.9622802734375, 369.23529052734375]","[371.61083984375, 369.23529052734375]","[424.9731750488281, 389.24615478515625]","[344.9296875, 389.24615478515625]","[464.9949035644531, 489.300537109375]","[304.907958984375, 482.6302490234375]","[511.68695068359375, 602.6954345703125]","[271.5565185546875, 596.025146484375]","[571.7195434570312, 682.7388916015625]","[211.5238800048828, 669.3983154296875]","[444.9840087890625, 716.0903930664062]","[344.9296875, 716.0903930664062]","[438.3137512207031, 902.8584594726562]","[351.5999755859375, 889.5178833007812]","[411.6325988769531, 1076.285888671875]","[351.5999755859375, 1076.285888671875]"
"[385.2845764160156, 377.4901428222656]","[398.5846252441406, 364.1900939941406]","[371.9844970703125, 364.1900939941406]","[418.5346984863281, 384.14019775390625]","[345.3843994140625, 390.79022216796875]","[465.0848693847656, 483.890625]","[305.4842224121094, 483.890625]","[504.9850769042969, 596.9411010742188]","[272.23406982421875, 596.9411010742188]","[571.4853515625, 676.741455078125]","[199.08375549316406, 663.4413452148438]","[445.13482666015625, 716.6416015625]","[345.3843994140625, 709.9915161132812]","[438.4847717285156, 902.8423461914062]","[352.034423828125, 896.1923828125]","[411.8846740722656, 1075.7430419921875]","[352.034423828125, 1082.39306640625]"
"[390.3562927246094, 376.522705078125]","[403.4298095703125, 363.44915771484375]","[370.7459716796875, 363.44915771484375]","[416.50335693359375, 389.5962219238281]","[344.5989074707031, 396.13299560546875]","[462.2607421875, 487.64776611328125]","[305.3782958984375, 487.64776611328125]","[508.01812744140625, 598.7728271484375]","[272.6944580078125, 592.236083984375]","[573.3858032226562, 670.6773071289062]","[187.71644592285156, 651.0669555664062]","[442.6504211425781, 716.4346313476562]","[344.5989074707031, 716.4346313476562]","[436.1136474609375, 912.5377197265625]","[344.5989074707031, 899.4641723632812]","[409.9665832519531, 1082.49365234375]","[344.5989074707031, 1089.0302734375]"
"[390.1758728027344, 385.1683349609375]","[403.50225830078125, 371.84197998046875]","[376.84954833984375, 371.84197998046875]","[416.82861328125, 391.83154296875]","[343.5336608886719, 398.49468994140625]","[463.4708251953125, 491.7791442871094]","[310.2178039550781, 491.7791442871094]","[510.113037109375, 605.0531616210938]","[263.5755920410156, 598.3899536132812]","[583.407958984375, 671.6848754882812]","[176.9542999267578, 645.0321655273438]","[443.4812927246094, 724.9902954101562]","[343.5336608886719, 718.3270874023438]","[436.818115234375, 918.2223510742188]","[343.5336608886719, 911.5591430664062]","[410.1654357910156, 1098.1279296875]","[343.5336608886719, 1104.7911376953125]"
"[388.270751953125, 395.03033447265625]","[401.45001220703125, 388.4407043457031]","[368.50189208984375, 388.4407043457031]","[421.21893310546875, 408.2095947265625]","[342.14337158203125, 414.79925537109375]","[460.7567138671875, 507.0541076660156]","[309.1951904296875, 500.4644470214844]","[513.4737548828125, 612.4882202148438]","[263.0677490234375, 612.4882202148438]","[599.1389770507812, 671.7948608398438]","[170.8129119873047, 638.8467407226562]","[440.98779296875, 737.6912231445312]","[342.14337158203125, 737.6912231445312]","[434.398193359375, 928.79052734375]","[342.14337158203125, 928.79052734375]","[414.62933349609375, 1106.71044921875]","[342.14337158203125, 1119.8896484375]"
"[391.1397705078125, 416.7086486816406]","[404.0923156738281, 403.756103515625]","[371.7109680175781, 403.756103515625]","[417.0448303222656, 423.1849060058594]","[345.8058776855469, 429.6611633300781]","[462.37872314453125, 526.8052368164062]","[306.9482727050781, 520.3289184570312]","[520.6651000976562, 630.425537109375]","[261.6143798828125, 623.9492797851562]","[604.8566284179688, 675.7593994140625]","[164.4703369140625, 643.3780517578125]","[436.4736633300781, 759.950927734375]","[339.3296203613281, 753.4746704101562]","[442.9499206542969, 941.2864379882812]","[339.3296203613281, 934.8101196289062]","[417.0448303222656, 1122.621826171875]","[339.3296203613281, 1135.574462890625]"
"[390.8892822265625, 436.78857421875]","[403.44573974609375, 424.2320861816406]","[378.332763671875, 424.2320861816406]","[422.28045654296875, 443.0668029785156]","[346.94158935546875, 449.34503173828125]","[466.22808837890625, 549.7968139648438]","[302.99395751953125, 543.5186157226562]","[529.0104370117188, 650.2485961914062]","[252.76806640625, 643.9703979492188]","[616.9057006835938, 694.1962280273438]","[158.59449768066406, 643.9703979492188]","[434.8369140625, 775.8132934570312]","[340.66339111328125, 775.8132934570312]","[447.39337158203125, 957.8821411132812]","[334.3851318359375, 951.6039428710938]","[416.002197265625, 1133.672607421875]","[340.66339111328125, 1152.50732421875]"
"[391.1980895996094, 454.0338134765625]","[403.40631103515625, 441.8255920410156]","[372.8857116699219, 441.8255920410156]","[421.7186584472656, 460.137939453125]","[348.4692687988281, 472.34619140625]","[470.5516052246094, 570.0120239257812]","[305.7404479980469, 563.907958984375]","[531.5928344726562, 661.5737915039062]","[250.8033905029297, 655.4696655273438]","[629.2586669921875, 704.3026123046875]","[159.2416229248047, 649.3656005859375]","[433.9269104003906, 795.8643798828125]","[336.2610168457031, 795.8643798828125]","[458.3433532714844, 985.0919799804688]","[336.2610168457031, 985.0919799804688]","[409.5104064941406, 1143.7989501953125]","[336.2610168457031, 1149.903076171875]"
"[394.26080322265625, 466.129150390625]","[406.470703125, 453.9192199707031]","[375.94586181640625, 453.9192199707031]","[424.78558349609375, 466.129150390625]","[345.4210510253906, 472.2341003417969]","[461.4153747558594, 569.91357421875]","[308.791259765625, 563.80859375]","[534.6749267578125, 667.593017578125]","[247.74159240722656, 655.383056640625]","[626.2494506835938, 722.5377197265625]","[162.27207946777344, 655.383056640625]","[436.9955139160156, 801.9022827148438]","[339.31610107421875, 795.7973022460938]","[461.4153747558594, 978.9462280273438]","[339.31610107421875, 985.0512084960938]","[406.470703125, 1143.7802734375]","[339.31610107421875, 1149.8851318359375]"
"[393.7346496582031, 452.0203857421875]","[406.06396484375, 439.6910705566406]","[375.24072265625, 439.6910705566406]","[418.39324951171875, 458.1850280761719]","[344.41748046875, 464.34967041015625]","[461.54583740234375, 562.9840698242188]","[307.4295654296875, 556.8194580078125]","[529.3569946289062, 661.6185302734375]","[251.9476776123047, 643.1245727539062]","[615.6620483398438, 729.4296264648438]","[165.64256286621094, 661.6185302734375]","[436.8872375488281, 791.0762329101562]","[338.2528381347656, 791.0762329101562]","[455.3811950683594, 982.1803588867188]","[338.2528381347656, 976.0156860351562]","[412.2286071777344, 1136.2965087890625]","[338.2528381347656, 1154.7904052734375]"
"[389.72113037109375, 427.58990478515625]","[402.70526123046875, 414.60577392578125]","[376.73699951171875, 414.60577392578125]","[422.1815185546875, 434.08197021484375]","[344.27667236328125, 440.57403564453125]","[461.1339111328125, 544.4470825195312]","[305.32427978515625, 531.4629516601562]","[519.5625, 648.3202514648438]","[253.3876953125, 628.8440551757812]","[590.9752807617188, 726.2250366210938]","[175.48289489746094, 661.3043823242188]","[435.1656494140625, 784.6536254882812]","[337.78460693359375, 784.6536254882812]","[441.65765380859375, 972.9236450195312]","[344.27667236328125, 972.9236450195312]","[415.68939208984375, 1135.22509765625]","[344.27667236328125, 1148.2093505859375]"
"[388.61083984375, 407.8854064941406]","[401.69598388671875, 394.80029296875]","[368.98321533203125, 394.80029296875]","[414.7811279296875, 414.4279479980469]","[342.81292724609375, 420.97052001953125]","[460.5789794921875, 519.1089477539062]","[303.5576171875, 512.5663452148438]","[512.9194946289062, 630.3323974609375]","[257.75970458984375, 610.7047729492188]","[565.2599487304688, 721.9282836914062]","[179.2489776611328, 663.0452270507812]","[434.4088134765625, 761.18359375]","[342.81292724609375, 754.6410522460938]","[434.4088134765625, 957.4603881835938]","[336.2703857421875, 944.375244140625]","[414.7811279296875, 1121.024169921875]","[342.81292724609375, 1121.024169921875]"
"[388.0285339355469, 396.4248046875]","[401.3861999511719, 383.0671081542969]","[367.99200439453125, 383.0671081542969]","[414.7439270019531, 396.4248046875]","[341.2766418457031, 403.1036376953125]","[461.495849609375, 503.28631591796875]","[307.88238525390625, 489.92864990234375]","[508.24774169921875, 616.82666015625]","[261.1304931640625, 603.468994140625]","[548.32080078125, 710.3305053710938]","[194.34205627441406, 663.5785522460938]","[434.78045654296875, 737.0458984375]","[341.2766418457031, 730.3670043945312]","[434.78045654296875, 917.3746337890625]","[341.2766418457031, 910.69580078125]","[408.0650634765625, 1104.3822021484375]","[347.9554443359375, 1104.3822021484375]"
"[394.5738525390625, 381.0484924316406]","[401.04248046875, 368.11126708984375]","[375.16796875, 368.11126708984375]","[420.4482421875, 393.9857177734375]","[342.824951171875, 393.9857177734375]","[459.25994873046875, 491.014892578125]","[304.01324462890625, 484.54632568359375]","[498.0716552734375, 607.449951171875]","[265.20159912109375, 594.5126953125]","[536.88330078125, 704.4791259765625]","[194.04684448242188, 665.66748046875]","[433.385498046875, 717.4163818359375]","[342.824951171875, 717.4163818359375]","[433.385498046875, 905.0061645507812]","[349.2935791015625, 892.0689086914062]","[407.51104736328125, 1079.6585693359375]","[342.824951171875, 1086.127197265625]"
"[393.5882873535156, 369.6910400390625]","[400.1136779785156, 356.6402282714844]","[374.0120849609375, 363.1656188964844]","[419.6899108886719, 382.7418212890625]","[341.3850402832031, 389.2672424316406]","[458.8423156738281, 487.1482849121094]","[308.758056640625, 480.62286376953125]","[497.9947204589844, 604.6055297851562]","[263.0802307128906, 591.5547485351562]","[537.1470947265625, 695.961181640625]","[197.82618713378906, 656.8087768554688]","[439.2660827636719, 715.5374145507812]","[341.3850402832031, 715.5374145507812]","[439.2660827636719, 898.2486572265625]","[347.91046142578125, 885.1978759765625]","[400.1136779785156, 1080.959716796875]","[347.91046142578125, 1080.959716796875]"
