±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[365.4547119140625, 240.4222869873047]","[379.3539123535156, 226.5230255126953]","[344.6058349609375, 226.5230255126953]","[407.1524658203125, 247.3719024658203]","[330.7065734863281, 247.3719024658203]","[441.9005432128906, 351.6163024902344]","[289.0088195800781, 351.6163024902344]","[497.4975891113281, 455.8606872558594]","[240.36143493652344, 462.810302734375]","[566.9938354492188, 532.3065185546875]","[163.91555786132812, 525.35693359375]","[400.2027893066406, 594.8531494140625]","[302.9080810546875, 587.903564453125]","[386.3035888671875, 789.4426879882812]","[295.95843505859375, 775.5433959960938]","[386.3035888671875, 977.08251953125]","[302.9080810546875, 956.2337036132812]"
"[358.5028991699219, 227.6946258544922]","[372.445068359375, 213.75242614746094]","[337.58966064453125, 213.75242614746094]","[407.300537109375, 234.6656951904297]","[323.6474609375, 241.63681030273438]","[442.1560363769531, 346.20318603515625]","[281.8208923339844, 346.20318603515625]","[497.9247131347656, 450.7695617675781]","[239.9943389892578, 457.74066162109375]","[567.6356811523438, 534.4226684570312]","[170.28343200683594, 520.4804077148438]","[400.3294372558594, 583.2202758789062]","[302.73419189453125, 576.2492065429688]","[393.3583679199219, 778.4108276367188]","[302.73419189453125, 764.4686889648438]","[372.445068359375, 966.6301879882812]","[302.73419189453125, 938.7457885742188]"
"[352.15093994140625, 225.13006591796875]","[373.0581359863281, 211.19195556640625]","[338.2128601074219, 211.19195556640625]","[400.9343566894531, 232.09912109375]","[317.3056945800781, 239.06817626953125]","[442.7486267089844, 336.63494873046875]","[282.46044921875, 343.60400390625]","[491.5320129394531, 455.10882568359375]","[247.6151580810547, 455.10882568359375]","[568.1915893554688, 531.7683715820312]","[170.95558166503906, 517.830322265625]","[400.9343566894531, 580.5517578125]","[303.3675842285156, 573.5827026367188]","[386.9962158203125, 768.7161254882812]","[303.3675842285156, 754.778076171875]","[366.0890808105469, 963.849609375]","[303.3675842285156, 935.9733276367188]"
"[351.4267272949219, 222.35887145996094]","[365.5600280761719, 215.292236328125]","[337.2934265136719, 215.292236328125]","[400.8932189941406, 236.49215698242188]","[316.093505859375, 236.49215698242188]","[436.2264099121094, 342.4918212890625]","[280.76031494140625, 342.4918212890625]","[492.7595520019531, 455.55804443359375]","[252.4937286376953, 455.55804443359375]","[570.4926147460938, 533.2910766601562]","[167.6940460205078, 512.0911865234375]","[400.8932189941406, 582.757568359375]","[301.960205078125, 575.69091796875]","[386.7599182128906, 766.490234375]","[301.960205078125, 752.35693359375]","[365.5600280761719, 957.28955078125]","[301.960205078125, 936.089599609375]"
"[351.7523498535156, 229.59410095214844]","[372.0641784667969, 222.82350158691406]","[338.2112121582031, 222.82350158691406]","[399.14654541015625, 243.1352996826172]","[317.8993835449219, 249.90589904785156]","[439.7701110839844, 351.4648742675781]","[277.2757873535156, 351.4648742675781]","[487.1643371582031, 466.5650634765625]","[250.1934051513672, 459.79443359375]","[581.9526977539062, 527.5004272460938]","[162.17564392089844, 507.1886291503906]","[405.9171447753906, 588.4357299804688]","[297.58758544921875, 581.6652221679688]","[385.6053466796875, 784.7830810546875]","[304.3581848144531, 771.2418823242188]","[365.2935791015625, 981.13037109375]","[297.58758544921875, 954.0479736328125]"
"[351.6605224609375, 245.70445251464844]","[372.2227783203125, 231.9962921142578]","[337.9523620605469, 231.9962921142578]","[399.6391296386719, 252.5585479736328]","[317.3901062011719, 259.4126281738281]","[433.9095458984375, 362.2239074707031]","[283.11968994140625, 362.2239074707031]","[488.7421875, 478.74334716796875]","[248.84925842285156, 471.8892517089844]","[584.6994018554688, 519.8678588867188]","[159.7461700439453, 499.30560302734375]","[399.6391296386719, 595.2627563476562]","[296.827880859375, 595.2627563476562]","[385.93096923828125, 787.1771240234375]","[303.68194580078125, 780.3230590820312]","[372.2227783203125, 992.7996215820312]","[296.827880859375, 972.2373046875]"
"[351.7615661621094, 265.2801513671875]","[365.2859802246094, 251.75570678710938]","[338.2371520996094, 251.75570678710938]","[399.0970153808594, 272.0423583984375]","[317.9505615234375, 278.8045654296875]","[439.67022705078125, 386.99981689453125]","[284.1395568847656, 380.23760986328125]","[487.00567626953125, 488.432861328125]","[236.8041229248047, 481.670654296875]","[588.438720703125, 515.481689453125]","[148.89544677734375, 501.957275390625]","[399.0970153808594, 616.9147338867188]","[297.6639709472656, 610.1525268554688]","[392.3348083496094, 799.4942626953125]","[297.6639709472656, 792.7320556640625]","[372.0481872558594, 995.59814453125]","[297.6639709472656, 988.8359375]"
"[351.94293212890625, 271.9169616699219]","[371.7350158691406, 258.72222900390625]","[338.7481689453125, 265.3196105957031]","[398.1244812011719, 285.1117248535156]","[318.9560546875, 291.7090759277344]","[437.7087097167969, 403.8643493652344]","[285.9692077636719, 384.072265625]","[497.0849914550781, 502.82489013671875]","[226.59288024902344, 496.2275085449219]","[596.0455932617188, 516.0195922851562]","[134.22972106933594, 509.4222717285156]","[398.1244812011719, 628.1748657226562]","[292.56658935546875, 628.1748657226562]","[391.527099609375, 819.49853515625]","[292.56658935546875, 812.9011840820312]","[371.7350158691406, 997.62744140625]","[292.56658935546875, 1004.224853515625]"
"[352.0016174316406, 285.6762390136719]","[365.089599609375, 266.0442199707031]","[332.3695983886719, 272.5882263183594]","[397.8096618652344, 292.2202453613281]","[312.737548828125, 298.7642517089844]","[437.07373046875, 410.0124206542969]","[280.01751708984375, 390.3804016113281]","[502.5138244628906, 501.6285705566406]","[214.57740783691406, 488.54052734375]","[607.2179565429688, 521.2605590820312]","[122.96128845214844, 514.716552734375]","[391.26568603515625, 645.5967407226562]","[293.10552978515625, 639.052734375]","[391.26568603515625, 835.3729248046875]","[286.5615234375, 822.2849731445312]","[371.6336364746094, 998.9730834960938]","[286.5615234375, 1012.0611572265625]"
"[345.32830810546875, 275.59820556640625]","[365.14501953125, 262.3870544433594]","[325.5115661621094, 268.99261474609375]","[391.5673522949219, 288.809326171875]","[312.3004455566406, 295.4149169921875]","[437.8063659667969, 401.1040954589844]","[279.2725524902344, 387.8929748535156]","[510.4676818847656, 486.9765625]","[213.21681213378906, 486.9765625]","[602.9457397460938, 526.6100463867188]","[127.34434509277344, 526.6100463867188]","[391.5673522949219, 645.5103149414062]","[292.4837341308594, 638.90478515625]","[391.5673522949219, 837.072021484375]","[285.8781433105469, 830.4664306640625]","[371.7505798339844, 995.605712890625]","[285.8781433105469, 1002.2113037109375]"
"[338.4347229003906, 272.93817138671875]","[358.5301818847656, 252.8427276611328]","[318.33929443359375, 259.5412292480469]","[385.3240661621094, 272.93817138671875]","[304.94232177734375, 279.63665771484375]","[425.5149230957031, 386.81231689453125]","[271.449951171875, 380.11383056640625]","[505.8966979980469, 473.89251708984375]","[217.8621063232422, 487.28948974609375]","[592.9768676757812, 534.1788940429688]","[137.4803466796875, 534.1788940429688]","[392.0225524902344, 627.95751953125]","[291.5453796386719, 627.95751953125]","[392.0225524902344, 822.21337890625]","[284.8468933105469, 815.514892578125]","[371.9270935058594, 996.373779296875]","[298.2438659667969, 989.67529296875]"
"[337.3690490722656, 254.1079864501953]","[351.4535217285156, 240.0234832763672]","[316.2422790527344, 240.0234832763672]","[386.664794921875, 261.1502685546875]","[295.11553955078125, 268.1925048828125]","[421.8760070800781, 366.7840270996094]","[266.946533203125, 366.7840270996094]","[492.2985534667969, 465.3755187988281]","[224.6930389404297, 479.4599914550781]","[569.7632446289062, 542.8402709960938]","[140.18601989746094, 535.7980346679688]","[386.664794921875, 620.3049926757812]","[288.07330322265625, 620.3049926757812]","[379.62255859375, 810.4457397460938]","[288.07330322265625, 810.4457397460938]","[372.5802917480469, 986.5018920898438]","[295.11553955078125, 979.4597778320312]"
"[329.5787658691406, 245.98696899414062]","[344.0281982421875, 224.31289672851562]","[307.9046936035156, 231.53758239746094]","[380.1516418457031, 245.98696899414062]","[293.4553527832031, 260.4363708496094]","[416.2750549316406, 354.35736083984375]","[264.55657958984375, 361.58203125]","[488.5220031738281, 462.72772216796875]","[221.2084197998047, 477.17706298828125]","[560.7688598632812, 542.1992797851562]","[148.9615020751953, 534.9746704101562]","[387.3763427734375, 607.2214965820312]","[293.4553527832031, 599.996826171875]","[387.3763427734375, 795.0634765625]","[293.4553527832031, 787.8388061523438]","[365.7022705078125, 975.6806640625]","[293.4553527832031, 982.9053955078125]"
