±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[356.2383117675781, 378.24481201171875]","[369.3988342285156, 365.08428955078125]","[356.2383117675781, 371.66455078125]","[415.460693359375, 365.08428955078125]","[389.1396484375, 378.24481201171875]","[487.84356689453125, 457.2080078125]","[349.6580505371094, 463.78826904296875]","[547.0659790039062, 562.4921875]","[316.7567138671875, 569.0724487304688]","[619.4487915039062, 628.2948608398438]","[231.2133026123047, 608.5540771484375]","[454.9422607421875, 674.3566284179688]","[356.2383117675781, 667.7764282226562]","[428.6212158203125, 865.184326171875]","[356.2383117675781, 845.4435424804688]","[402.3001403808594, 1049.4315185546875]","[343.0777893066406, 1042.8511962890625]"
"[354.62481689453125, 384.352294921875]","[367.8582458496094, 364.50213623046875]","[354.62481689453125, 371.1188659667969]","[414.17529296875, 371.1188659667969]","[394.3251647949219, 377.735595703125]","[493.5759582519531, 457.13623046875]","[348.0080871582031, 470.3696594238281]","[546.5097045898438, 563.0037231445312]","[314.92449951171875, 569.6204223632812]","[625.9103393554688, 622.55419921875]","[228.9071502685547, 602.7040405273438]","[453.8755798339844, 688.7213745117188]","[361.2415466308594, 675.4879760742188]","[434.02545166015625, 867.372802734375]","[354.62481689453125, 847.5226440429688]","[407.5585632324219, 1052.640869140625]","[348.0080871582031, 1039.4073486328125]"
"[353.10955810546875, 393.40911865234375]","[372.5167236328125, 374.001953125]","[353.10955810546875, 380.47100830078125]","[417.8001403808594, 374.001953125]","[372.5167236328125, 393.40911865234375]","[488.95977783203125, 464.56878662109375]","[353.10955810546875, 477.50689697265625]","[547.1813354492188, 568.07373046875]","[314.2951965332031, 574.5427856445312]","[631.2791748046875, 613.357177734375]","[230.19740295410156, 593.949951171875]","[450.14544677734375, 690.9859008789062]","[359.57861328125, 678.0477294921875]","[430.73828125, 872.1195068359375]","[353.10955810546875, 859.181396484375]","[411.3310852050781, 1059.72216796875]","[346.6405029296875, 1046.7840576171875]"
"[352.05731201171875, 400.98773193359375]","[364.4893798828125, 388.5556945800781]","[358.27337646484375, 394.771728515625]","[414.21759033203125, 388.5556945800781]","[395.56951904296875, 382.33966064453125]","[488.80987548828125, 481.7960510253906]","[352.05731201171875, 488.0120849609375]","[544.7540283203125, 575.0364379882812]","[308.545166015625, 587.4684448242188]","[637.994384765625, 612.3325805664062]","[221.52084350585938, 593.6845092773438]","[451.51373291015625, 705.5729370117188]","[358.27337646484375, 693.1408081054688]","[432.86566162109375, 885.8375854492188]","[352.05731201171875, 873.4055786132812]","[414.21759033203125, 1072.318115234375]","[352.05731201171875, 1072.318115234375]"
"[353.8177490234375, 419.8083801269531]","[366.20361328125, 401.2296142578125]","[353.8177490234375, 413.6154479980469]","[415.74700927734375, 401.2296142578125]","[372.39654541015625, 419.8083801269531]","[490.0621337890625, 500.31646728515625]","[347.62481689453125, 500.31646728515625]","[551.9913940429688, 593.2103271484375]","[298.0814208984375, 593.2103271484375]","[638.6924438476562, 611.7891235351562]","[211.38040161132812, 599.4033203125]","[446.711669921875, 723.2618408203125]","[353.8177490234375, 717.0689086914062]","[434.3258056640625, 896.663818359375]","[353.8177490234375, 884.2778930664062]","[409.5540771484375, 1070.065673828125]","[347.62481689453125, 1082.4515380859375]"
"[356.0142517089844, 426.9252624511719]","[368.8002624511719, 407.74627685546875]","[356.0142517089844, 420.53228759765625]","[419.9442138671875, 407.74627685546875]","[400.7652282714844, 407.74627685546875]","[496.6601867675781, 510.0342102050781]","[349.62127685546875, 503.6412353515625]","[554.1971435546875, 605.9291381835938]","[292.0843200683594, 599.5361938476562]","[643.6990356445312, 618.7151489257812]","[208.97535705566406, 605.9291381835938]","[445.5162048339844, 733.7890014648438]","[356.0142517089844, 727.3960571289062]","[439.12322998046875, 912.7929077148438]","[349.62127685546875, 900.0068969726562]","[407.1582336425781, 1072.61767578125]","[343.228271484375, 1091.7967529296875]"
"[356.38519287109375, 423.4654541015625]","[369.331787109375, 410.5188903808594]","[356.38519287109375, 416.9921875]","[414.64483642578125, 410.5188903808594]","[375.8050842285156, 429.93878173828125]","[492.3243713378906, 507.6183166503906]","[349.9118957519531, 507.6183166503906]","[550.5840454101562, 604.7177124023438]","[291.6522521972656, 598.2444458007812]","[641.2100830078125, 617.6642456054688]","[207.4994354248047, 604.7177124023438]","[447.01129150390625, 740.6569213867188]","[349.9118957519531, 734.18359375]","[440.5379943847656, 915.4357299804688]","[349.9118957519531, 902.4891967773438]","[408.1715393066406, 1070.794677734375]","[349.9118957519531, 1090.214599609375]"
"[356.3209228515625, 415.5172119140625]","[368.41522216796875, 397.3757629394531]","[362.3680419921875, 403.42291259765625]","[416.79229736328125, 403.42291259765625]","[404.697998046875, 385.281494140625]","[489.3580322265625, 500.17718505859375]","[344.22662353515625, 500.17718505859375]","[549.8294067382812, 596.9314575195312]","[295.8494873046875, 596.9314575195312]","[634.4893798828125, 627.1671142578125]","[211.1895294189453, 615.0728149414062]","[447.02801513671875, 723.9213256835938]","[350.27374267578125, 717.8742065429688]","[440.98089599609375, 905.3355102539062]","[350.27374267578125, 893.2412719726562]","[410.74517822265625, 1074.6553955078125]","[350.27374267578125, 1080.70263671875]"
"[356.10870361328125, 400.2827453613281]","[368.50634765625, 387.88507080078125]","[356.10870361328125, 394.08392333984375]","[411.89813232421875, 387.88507080078125]","[393.3016662597656, 387.88507080078125]","[492.48284912109375, 487.0662536621094]","[343.7110595703125, 487.0662536621094]","[548.272216796875, 586.2474365234375]","[294.1204833984375, 586.2474365234375]","[622.6581420898438, 629.6392211914062]","[219.7345733642578, 617.2415161132812]","[442.8922119140625, 710.2239379882812]","[349.9098815917969, 704.0250854492188]","[430.4945983886719, 889.98974609375]","[349.9098815917969, 877.5921020507812]","[411.89813232421875, 1063.556640625]","[356.10870361328125, 1057.35791015625]"
"[349.7577819824219, 385.17669677734375]","[369.1589050292969, 372.24261474609375]","[349.7577819824219, 378.70965576171875]","[414.42822265625, 378.70965576171875]","[395.027099609375, 372.24261474609375]","[485.56573486328125, 475.7153625488281]","[343.2907409667969, 475.7153625488281]","[543.7691040039062, 579.1880493164062]","[298.02142333984375, 579.1880493164062]","[614.9066772460938, 637.3914184570312]","[220.41688537597656, 611.5232543945312]","[446.763427734375, 695.5947875976562]","[349.7577819824219, 689.1277465820312]","[427.3623046875, 870.2050170898438]","[349.7577819824219, 857.2709350585938]","[407.961181640625, 1057.7491455078125]","[356.2248229980469, 1044.8150634765625]"
