鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[654.5054931640625, 346.65960693359375]","[673.2320556640625, 340.41741943359375]","[666.9898681640625, 340.41741943359375]","[635.7789306640625, 334.17523193359375]","[660.7476806640625, 346.65960693359375]","[585.8414306640625, 365.38616943359375]","[610.8101806640625, 359.14398193359375]","[548.3883056640625, 334.17523193359375]","[548.3883056640625, 340.41741943359375]","[660.7476806640625, 352.90179443359375]","[660.7476806640625, 346.65960693359375]","[448.5133056640625, 427.80804443359375]","[436.0289306640625, 415.32366943359375]","[273.7320556640625, 359.14398193359375]","[273.7320556640625, 352.90179443359375]","[161.37265014648438, 427.80804443359375]","[161.37265014648438, 421.56585693359375]"
"[666.9898681640625, 332.54364013671875]","[679.4742431640625, 326.30145263671875]","[660.7476806640625, 320.05926513671875]","[635.7789306640625, 313.81707763671875]","[646.7391357421875, 327.02587890625]","[598.3258056640625, 363.75457763671875]","[648.2633056640625, 369.99676513671875]","[530.6497802734375, 326.6048583984375]","[523.4195556640625, 338.78582763671875]","[623.2945556640625, 326.30145263671875]","[635.7789306640625, 317.0542907714844]","[451.76287841796875, 423.84588623046875]","[442.2711181640625, 419.93426513671875]","[273.7320556640625, 358.3936767578125]","[276.5761413574219, 349.29949951171875]","[155.1304473876953, 433.22454833984375]","[158.05860900878906, 427.07568359375]"
"[579.5992431640625, 324.5418701171875]","[598.3258056640625, 305.8153076171875]","[142.64608764648438, 418.1746826171875]","[604.5679931640625, 299.5731201171875]","[635.7789306640625, 305.8153076171875]","[610.8101806640625, 343.2684326171875]","[635.7789306640625, 355.7528076171875]","[504.6929931640625, 312.0574951171875]","[498.4508056640625, 312.0574951171875]","[592.0836181640625, 305.8153076171875]","[604.5679931640625, 312.0574951171875]","[454.7554931640625, 424.4168701171875]","[442.2711181640625, 424.4168701171875]","[286.2164306640625, 355.7528076171875]","[279.9742431640625, 361.9949951171875]","[155.13046264648438, 430.6590576171875]","[161.37265014648438, 424.4168701171875]"
"[617.0523681640625, 299.66436767578125]","[610.8101806640625, 305.90655517578125]","[617.0523681640625, 293.42218017578125]","[579.5992431640625, 305.90655517578125]","[617.0523681640625, 318.39093017578125]","[617.0523681640625, 355.84405517578125]","[604.5679931640625, 324.63311767578125]","[479.7242431640625, 318.39093017578125]","[479.7242431640625, 312.14874267578125]","[573.3570556640625, 305.90655517578125]","[573.3570556640625, 293.42218017578125]","[454.7554931640625, 424.50811767578125]","[436.0289306640625, 424.50811767578125]","[279.9742431640625, 362.08624267578125]","[279.9742431640625, 355.84405517578125]","[155.13046264648438, 430.75030517578125]","[161.37265014648438, 424.50811767578125]"
"[600.4570922851562, 288.1402282714844]","[582.23388671875, 282.0658264160156]","[144.8778839111328, 421.7767639160156]","[576.1595458984375, 294.214599609375]","[588.3082885742188, 294.214599609375]","[606.5314331054688, 336.7353515625]","[624.754638671875, 348.8841247558594]","[478.96929931640625, 312.43780517578125]","[466.8205261230469, 294.214599609375]","[557.9363403320312, 294.214599609375]","[564.0107421875, 294.214599609375]","[460.74615478515625, 427.8511657714844]","[442.52294921875, 427.8511657714844]","[284.5888671875, 361.0329284667969]","[278.51446533203125, 361.0329284667969]","[150.95228576660156, 427.8511657714844]","[150.95228576660156, 427.8511657714844]"
"[572.952880859375, 297.2158508300781]","[578.8688354492188, 285.384033203125]","[596.6166381835938, 291.2999572753906]","[626.1962280273438, 309.0476989746094]","[578.8688354492188, 303.13177490234375]","[614.3643798828125, 344.5432434082031]","[567.0369873046875, 309.0476989746094]","[478.29815673828125, 332.71142578125]","[454.6344909667969, 303.13177490234375]","[549.2892456054688, 291.2999572753906]","[543.373291015625, 291.2999572753906]","[460.5504150390625, 427.3661804199219]","[430.97076416015625, 403.7024841308594]","[277.15679931640625, 362.291015625]","[277.15679931640625, 356.3750915527344]","[147.0064697265625, 427.3661804199219]","[147.0064697265625, 427.3661804199219]"
"[469.66949462890625, 291.87933349609375]","[507.095947265625, 286.53271484375]","[138.1779327392578, 430.89190673828125]","[533.8291625976562, 291.87933349609375]","[464.3228759765625, 297.2259521484375]","[565.9089965820312, 345.345703125]","[453.6296081542969, 291.87933349609375]","[421.5497741699219, 345.345703125]","[405.5098571777344, 302.5726318359375]","[389.4699401855469, 339.99908447265625]","[491.0560607910156, 275.83941650390625]","[442.93634033203125, 425.5452880859375]","[426.8963928222656, 393.4654541015625]","[277.1905517578125, 361.3856201171875]","[271.8439025878906, 350.6923828125]","[159.56446838378906, 425.5452880859375]","[148.87120056152344, 425.5452880859375]"
"[459.9983825683594, 293.30169677734375]","[470.5921325683594, 288.00482177734375]","[449.4046325683594, 282.70794677734375]","[512.9671020507812, 293.30169677734375]","[454.7015075683594, 293.30169677734375]","[555.3421020507812, 340.97357177734375]","[470.5921325683594, 346.27044677734375]","[407.0296325683594, 340.97357177734375]","[422.9202575683594, 282.70794677734375]","[380.5452575683594, 340.97357177734375]","[459.9983825683594, 282.70794677734375]","[444.1077575683594, 431.02044677734375]","[428.2171325683594, 415.12982177734375]","[274.6077575683594, 362.16107177734375]","[269.3108825683594, 351.56732177734375]","[147.48275756835938, 431.02044677734375]","[152.77963256835938, 425.72357177734375]"
"[94.94294738769531, 308.0274658203125]","[96.84758758544922, 299.68914794921875]","[87.5781021118164, 299.96575927734375]","[87.12197875976562, 302.2669372558594]","[46.64876937866211, 298.985595703125]","[31.701091766357422, 321.9324035644531]","[2.7685227394104004, 328.8861083984375]","[36.980430603027344, 374.728271484375]","[3.096764326095581, 393.4432373046875]","[76.70005798339844, 424.02899169921875]","[54.928470611572266, 439.0674133300781]","[4.88453483581543, 414.896484375]","[19.18669891357422, 438.13751220703125]","[33.227901458740234, 366.63348388671875]","[12.03561782836914, 409.5331726074219]","[174.72274780273438, 438.13751220703125]","[178.2982940673828, 436.3497314453125]"
"[95.16263580322266, 308.0693054199219]","[97.01907348632812, 300.63433837890625]","[87.79310607910156, 299.9776611328125]","[182.48622131347656, 436.85101318359375]","[48.47136306762695, 297.3756103515625]","[31.808666229248047, 322.049072265625]","[3.2836830615997314, 327.84674072265625]","[36.926876068115234, 374.7392272949219]","[5.00760555267334, 399.72509765625]","[75.23397827148438, 423.16070556640625]","[55.055599212646484, 438.4823913574219]","[3.108182668685913, 415.3256530761719]","[16.92862892150879, 431.47393798828125]","[33.4623908996582, 366.92449951171875]","[12.0770845413208, 409.9443359375]","[173.51731872558594, 438.6448059082031]","[178.89865112304688, 440.4385986328125]"
