left,right
"tensor([520.1721, 676.7294])","tensor([565.3409, 676.7294])"
"tensor([519.8795, 671.7106])","tensor([570.0670, 671.7106])"
"tensor([519.0959, 661.6731])","tensor([569.2834, 656.6544])"
"tensor([519.0528, 661.6731])","tensor([569.2403, 656.6544])"
"tensor([519.0711, 661.6731])","tensor([569.2586, 656.6544])"
"tensor([520.1039, 651.6356])","tensor([570.2914, 651.6356])"
"tensor([523.2095, 671.7106])","tensor([563.3596, 666.6918])"
"tensor([524.2542, 671.7106])","tensor([564.4041, 666.6918])"
"tensor([528.2205, 676.7294])","tensor([563.3517, 676.7294])"
"tensor([526.1821, 681.7481])","tensor([561.3133, 681.7481])"
"tensor([526.1100, 681.7481])","tensor([566.2601, 681.7481])"
"tensor([527.2993, 681.7481])","tensor([562.4305, 676.7294])"
"tensor([523.8858, 671.7106])","tensor([569.0545, 666.6918])"
"tensor([518.0122, 661.6731])","tensor([568.1997, 656.6544])"
"tensor([517.9492, 666.6918])","tensor([568.1367, 656.6544])"
"tensor([517.9667, 666.6918])","tensor([568.1542, 656.6544])"
"tensor([523.5696, 656.6544])","tensor([563.7197, 651.6356])"
"tensor([523.5037, 656.6544])","tensor([563.6537, 656.6544])"
"tensor([521.6550, 671.7106])","tensor([566.8237, 666.6918])"
"tensor([521.6783, 671.7106])","tensor([566.8470, 666.6918])"
"tensor([526.3928, 676.7294])","tensor([561.5240, 676.7294])"
"tensor([526.4383, 676.7294])","tensor([561.5695, 676.7294])"
"tensor([526.9128, 681.7481])","tensor([562.0440, 676.7294])"
"tensor([522.0789, 681.7481])","tensor([562.2288, 676.7294])"
"tensor([521.2359, 656.6544])","tensor([566.4047, 656.6544])"
"tensor([521.1794, 661.6731])","tensor([566.3481, 656.6544])"
"tensor([521.0528, 661.6731])","tensor([566.2216, 656.6544])"
"tensor([522.1078, 651.6356])","tensor([567.2766, 651.6356])"
"tensor([522.1443, 651.6356])","tensor([567.3132, 651.6356])"
"tensor([525.7433, 676.7294])","tensor([565.8934, 676.7294])"
"tensor([525.6047, 676.7294])","tensor([565.7547, 676.7294])"
"tensor([525.5883, 676.7294])","tensor([565.7382, 676.7294])"
"tensor([528.3925, 681.7481])","tensor([563.5237, 681.7481])"
"tensor([528.3307, 681.7481])","tensor([568.4807, 681.7481])"
"tensor([526.0013, 681.7481])","tensor([566.1512, 681.7481])"
"tensor([524.6314, 676.7294])","tensor([569.8002, 671.7106])"
"tensor([524.6153, 676.7294])","tensor([569.7840, 676.7294])"
"tensor([522.3026, 666.6918])","tensor([572.4901, 666.6918])"
"tensor([519.6838, 656.6544])","tensor([569.8713, 651.6356])"
"tensor([519.5066, 656.6544])","tensor([569.6941, 651.6356])"
"tensor([515.7699, 666.6918])","tensor([560.9387, 671.7106])"
"tensor([515.8729, 666.6918])","tensor([561.0416, 671.7106])"
"tensor([516.3799, 676.7294])","tensor([556.5299, 676.7294])"
"tensor([516.5599, 676.7294])","tensor([556.7099, 676.7294])"
"tensor([520.5185, 681.7481])","tensor([555.6497, 686.7668])"
"tensor([520.4415, 681.7481])","tensor([555.5727, 686.7668])"
"tensor([521.2575, 681.7481])","tensor([556.3887, 686.7668])"
"tensor([515.2234, 676.7294])","tensor([560.3922, 681.7481])"
"tensor([514.6636, 671.7106])","tensor([559.8324, 666.6918])"
