left,right
"tensor([217.3191, 766.3007])","tensor([283.2503, 766.3007])"
"tensor([217.2807, 766.3007])","tensor([283.2120, 760.3069])"
"tensor([216.5216, 766.3007])","tensor([288.4466, 760.3069])"
"tensor([211.8833, 760.3069])","tensor([289.8021, 760.3069])"
"tensor([205.7863, 754.3132])","tensor([289.6989, 754.3132])"
"tensor([206.1767, 754.3132])","tensor([290.0892, 742.3256])"
"tensor([207.1767, 742.3256])","tensor([291.0892, 736.3319])"
"tensor([207.2555, 742.3256])","tensor([291.1680, 736.3319])"
"tensor([208.2374, 742.3256])","tensor([292.1499, 736.3319])"
"tensor([207.6686, 748.3194])","tensor([291.5811, 742.3256])"
"tensor([213.0435, 754.3132])","tensor([296.9561, 748.3194])"
"tensor([209.7245, 754.3132])","tensor([293.6371, 754.3132])"
"tensor([215.3868, 762.0891])","tensor([292.8776, 756.1284])"
"tensor([217.0932, 758.7534])","tensor([294.8528, 758.7534])"
"tensor([211.3301, 754.3132])","tensor([295.2426, 748.3194])"
"tensor([215.9288, 754.3132])","tensor([293.8476, 748.3194])"
"tensor([210.7843, 754.3132])","tensor([294.6969, 742.3256])"
"tensor([212.8603, 748.3194])","tensor([296.7728, 742.3256])"
"tensor([212.2594, 742.3256])","tensor([296.1719, 742.3256])"
"tensor([218.4485, 736.3319])","tensor([296.3672, 736.3319])"
"tensor([217.1886, 736.3319])","tensor([295.1074, 730.3381])"
"tensor([223.2023, 742.3256])","tensor([295.1273, 736.3319])"
"tensor([222.5931, 754.3132])","tensor([300.5118, 742.3256])"
"tensor([231.3231, 754.3132])","tensor([297.2544, 748.3194])"
"tensor([232.3292, 754.3132])","tensor([298.2605, 754.3132])"
"tensor([233.2324, 760.3069])","tensor([299.1637, 754.3132])"
"tensor([230.7805, 760.3069])","tensor([296.7118, 760.3069])"
"tensor([233.6927, 758.8998])","tensor([299.5020, 758.8998])"
"tensor([233.8528, 760.3069])","tensor([299.7840, 754.3132])"
"tensor([228.0710, 760.3069])","tensor([299.9960, 748.3194])"
"tensor([223.7441, 754.3132])","tensor([301.6629, 742.3256])"
"tensor([225.4700, 754.3132])","tensor([303.3888, 742.3256])"
"tensor([227.3602, 742.3256])","tensor([305.2789, 736.3319])"
"tensor([228.9427, 742.3256])","tensor([300.8677, 736.3319])"
"tensor([226.3282, 748.3194])","tensor([304.2470, 736.3319])"
"tensor([228.9963, 748.3194])","tensor([300.9213, 742.3256])"
"tensor([232.7410, 748.3194])","tensor([304.6660, 742.3256])"
"tensor([231.5647, 754.3132])","tensor([303.4897, 748.3194])"
"tensor([230.4597, 760.3069])","tensor([302.3848, 754.3132])"
"tensor([230.7651, 754.3132])","tensor([302.6902, 754.3132])"
"tensor([228.8055, 754.3132])","tensor([300.7305, 748.3194])"
"tensor([229.5511, 754.3132])","tensor([301.4761, 742.3256])"
"tensor([226.3033, 748.3194])","tensor([304.2220, 742.3256])"
"tensor([227.4362, 748.3194])","tensor([305.3550, 736.3319])"
"tensor([222.9008, 742.3256])","tensor([300.8196, 736.3319])"
"tensor([224.8486, 736.3319])","tensor([302.7673, 736.3319])"
"tensor([223.5688, 742.3256])","tensor([301.4875, 736.3319])"
"tensor([225.6730, 742.3256])","tensor([303.5918, 736.3319])"
"tensor([225.2319, 754.3132])","tensor([303.1507, 742.3256])"
"tensor([225.3077, 754.3132])","tensor([303.2264, 748.3194])"
"tensor([227.4413, 754.3132])","tensor([299.3663, 748.3194])"
"tensor([234.2071, 760.2812])","tensor([300.1361, 754.2877])"
"tensor([232.9954, 754.3005])","tensor([298.9256, 754.3005])"
"tensor([229.2042, 754.3132])","tensor([301.1292, 748.3194])"
"tensor([227.9865, 748.3194])","tensor([305.9052, 742.3256])"
"tensor([224.9960, 748.3194])","tensor([302.9147, 736.3319])"
"tensor([222.1709, 742.3256])","tensor([300.0897, 736.3319])"
"tensor([226.9094, 736.3319])","tensor([304.8282, 730.3381])"
"tensor([228.2436, 730.3381])","tensor([300.1686, 730.3381])"
"tensor([227.9639, 736.3319])","tensor([299.8889, 730.3381])"
"tensor([221.6452, 742.3256])","tensor([299.5640, 736.3319])"
"tensor([222.9480, 754.3132])","tensor([300.8668, 748.3194])"
"tensor([226.6098, 760.3069])","tensor([304.5285, 754.3132])"
"tensor([227.5184, 760.3069])","tensor([305.4372, 760.3069])"
"tensor([228.1259, 766.3007])","tensor([300.0509, 760.3069])"
"tensor([230.5680, 766.3007])","tensor([302.4930, 760.3069])"
"tensor([228.5627, 766.3007])","tensor([300.4877, 760.3069])"
"tensor([228.6708, 766.3007])","tensor([300.5958, 760.3069])"
"tensor([227.7938, 760.3069])","tensor([305.7125, 754.3132])"
"tensor([223.3878, 754.3132])","tensor([301.3066, 748.3194])"
"tensor([224.1837, 754.3132])","tensor([302.1025, 742.3256])"
"tensor([229.5091, 754.3132])","tensor([307.4279, 742.3256])"
"tensor([233.2249, 754.3132])","tensor([305.1499, 748.3194])"
"tensor([232.7675, 760.3069])","tensor([304.6925, 754.3132])"
"tensor([230.2142, 760.3069])","tensor([308.1330, 754.3132])"
"tensor([232.0880, 760.3069])","tensor([310.0067, 760.3069])"
"tensor([232.6440, 766.3007])","tensor([304.5690, 766.3007])"
"tensor([233.5065, 766.3007])","tensor([305.4315, 766.3007])"
"tensor([235.2355, 766.3007])","tensor([307.1606, 766.3007])"
"tensor([232.3418, 766.3007])","tensor([304.2668, 766.3007])"
"tensor([226.9458, 766.3007])","tensor([304.8646, 766.3007])"
"tensor([223.7716, 760.3069])","tensor([301.6904, 766.3007])"
"tensor([218.8501, 760.3069])","tensor([302.7626, 766.3007])"
"tensor([218.6008, 772.2944])","tensor([302.5133, 766.3007])"
"tensor([204.6657, 784.2819])","tensor([300.5657, 766.3007])"
"tensor([195.4962, 796.2693])","tensor([303.3838, 766.3007])"
"tensor([191.0566, 808.2568])","tensor([304.9378, 766.3007])"
"tensor([177.9356, 820.2443])","tensor([303.8044, 766.3007])"
"tensor([175.1318, 832.2319])","tensor([301.0006, 766.3007])"
"tensor([172.4995, 838.2256])","tensor([304.3621, 766.3007])"
"tensor([173.9628, 838.2256])","tensor([305.8253, 766.3007])"
"tensor([171.3966, 838.2256])","tensor([303.2591, 766.3007])"
"tensor([170.2761, 838.2256])","tensor([308.1323, 766.3007])"
"tensor([171.5532, 838.2256])","tensor([303.4157, 766.3007])"
"tensor([170.8013, 844.2194])","tensor([302.6638, 766.3007])"
"tensor([177.5920, 838.2256])","tensor([303.4608, 772.2944])"
"tensor([172.6232, 844.2194])","tensor([304.4857, 772.2944])"
"tensor([173.2233, 844.2194])","tensor([299.0921, 778.2881])"
"tensor([175.8245, 844.2194])","tensor([289.7057, 790.2756])"
"tensor([177.2607, 850.2131])","tensor([273.1607, 802.2631])"
"tensor([176.7633, 850.2131])","tensor([260.6758, 832.2319])"
"tensor([176.3295, 850.2131])","tensor([248.2545, 844.2194])"
"tensor([173.3692, 844.2194])","tensor([233.3067, 868.1943])"
"tensor([170.8343, 844.2194])","tensor([218.7843, 886.1756])"
"tensor([169.1780, 844.2194])","tensor([199.1468, 922.1381])"
"tensor([173.3224, 844.2194])","tensor([191.3037, 934.1256])"
"tensor([176.4247, 856.2068])","tensor([182.4185, 934.1256])"
"tensor([174.7262, 850.2131])","tensor([162.7387, 934.1256])"
"tensor([179.4021, 850.2131])","tensor([155.4271, 940.1193])"
"tensor([170.5406, 862.2006])","tensor([155.5563, 949.1100])"
"tensor([175.5715, 856.2068])","tensor([154.5934, 949.1100])"
"tensor([176.5503, 850.2131])","tensor([155.5722, 949.1100])"
